player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Savion Washington,130505,T,SYRACUSE,12,100.0,0,304,70.4,73.4,68.4,2,12,595,100.0,100.0,98.3,6,17,3,960,0,0,0,960,633,633,0,956,327,0
Mark Petry,123053,G,SYRACUSE,12,100.0,0,304,60.9,66.1,56.5,3,17,596,100.0,100.0,97.8,3,23,3,958,0,0,0,958,632,632,956,0,326,0
Caleb Rogers,123157,T,TEXAS TECH,12,100.0,0,315,70.7,76.4,70.1,4,14,545,100.0,100.0,97.8,9,21,3,954,0,186,0,954,574,574,115,651,380,1
Sheridan Wilson,157336,C,TEXAS TECH,12,100.0,0,315,64.6,87.2,58.8,3,8,545,100.0,100.0,99.0,8,11,0,950,950,0,0,950,574,574,0,0,376,0
CJ James Jr.,151192,C,UTSA,12,100.0,0,331,70.8,76.3,72.8,1,10,545,100.0,100.0,99.0,10,11,0,944,944,0,0,944,578,578,0,0,366,0
Kamar Missouri,129890,T,UTSA,12,100.0,0,331,53.4,46.8,56.5,2,27,526,100.0,100.0,96.7,2,32,3,911,0,3,908,911,556,556,0,0,355,0
Xavier Hill,124098,G,MEMPHIS,12,100.0,0,218,83.2,86.8,80.4,1,8,497,100.0,100.0,98.7,3,11,2,904,0,490,0,904,528,528,5,407,376,1
Richard Pearce,151054,G,NEW MEXICO,12,100.0,0,241,70.6,70.6,75.1,0,6,435,100.0,100.0,99.3,10,6,0,904,0,0,2,904,476,476,896,0,428,6
Chris Adams,145359,T,MEMPHIS,12,99.9,1,218,82.2,80.5,84.1,4,15,496,99.8,99.8,98.1,9,19,0,903,0,0,901,904,527,528,0,0,376,2
Jonah Gambill,121763,G,MEMPHIS,12,100.0,0,218,66.4,75.5,63.8,2,11,495,100.0,100.0,98.7,4,13,0,902,8,0,1,902,526,526,893,0,376,0
McKenzie Agnello,160062,C,NEW MEXICO,12,99.9,0,241,74.8,73.5,76.0,1,6,435,100.0,99.8,99.2,7,7,0,901,636,0,10,902,473,474,0,215,428,41
Ryan Linthicum,144122,C,CLEMSON,13,100.0,1,140,66.9,69.9,63.9,3,14,524,100.0,100.0,97.8,2,20,3,899,899,0,0,899,554,554,0,0,345,0
Baraka Beckett,81883,G,NEW MEXICO,12,100.0,1,241,69.4,91.5,66.5,0,3,434,100.0,100.0,99.7,8,3,0,897,0,890,6,897,475,475,0,1,422,0
Trent Holler,105818,C,MEMPHIS,12,100.0,1,218,82.0,84.5,78.8,0,3,495,100.0,100.0,98.9,1,7,4,895,895,0,0,895,525,525,0,0,370,0
Cooper Mays,124289,C,TENNESSEE,13,100.0,0,307,68.8,75.7,67.1,0,9,426,100.0,100.0,98.7,4,10,1,887,887,0,0,887,460,460,0,0,427,0
Dorion Strawn,150063,T,TEXAS ST,12,99.9,0,314,78.0,78.6,73.4,5,17,440,99.8,99.8,97.0,1,24,2,886,0,2,878,887,462,463,0,0,424,7
Chayse Todd,97851,C,TEXAS ST,12,100.0,0,314,67.8,82.1,66.0,1,3,440,100.0,100.0,99.5,10,4,0,885,885,0,0,885,462,462,0,0,423,0
PJ Williams,158685,T,SMU,13,99.9,0,287,76.0,78.6,74.9,4,10,421,99.8,99.8,98.1,12,15,1,881,0,0,200,882,461,462,0,660,420,22
Wyatt Bowles,81896,G,UTAH ST,12,100.0,1,329,63.8,64.3,63.6,3,12,483,100.0,100.0,98.0,6,17,2,881,0,753,72,881,510,510,55,0,371,1
Mickey Rewolinski,130473,G,E MICHIGAN,12,100.0,0,160,76.9,86.4,72.0,1,5,472,100.0,100.0,99.2,1,7,1,875,0,770,104,875,502,502,0,1,373,0
Alex Harkey,157695,T,TEXAS ST,12,99.9,2,314,85.8,79.3,84.5,0,9,437,99.8,99.8,98.3,4,12,3,875,0,0,4,876,461,462,59,780,414,30
Walter Young Bear,133127,G,TULSA,12,100.0,2,320,61.5,69.5,58.8,2,11,478,100.0,100.0,98.4,5,14,1,874,0,873,0,874,508,508,0,0,366,0
Kasen Carpenter,173292,C,TULSA,12,100.0,0,320,50.5,64.8,42.7,1,15,475,100.0,100.0,98.1,2,17,1,873,853,0,0,873,507,507,20,0,366,0
Nash Jones,133226,G,TEXAS ST,12,100.0,0,314,71.6,72.1,71.1,3,8,436,100.0,100.0,98.7,4,11,0,870,0,868,0,870,458,458,0,0,412,1
Mehki Butler,147056,G,ARK STATE,12,100.0,0,113,75.7,74.9,75.0,0,15,483,100.0,100.0,98.4,0,15,0,868,0,868,0,868,512,512,0,0,356,0
Will Campbell,157106,T,LSU,12,100.0,0,211,72.2,80.6,69.7,5,11,524,100.0,100.0,98.1,9,18,2,866,0,0,861,866,558,558,0,2,308,1
Emery Jones Jr.,157117,T,LSU,12,100.0,1,211,61.7,67.4,61.0,4,23,522,100.0,100.0,97.2,9,28,1,864,0,0,0,864,556,556,0,859,308,3
