player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Mason White,43872,CB,OREGON ST,10,3,0,70.0,1,0,265,0,0,50.6,54.7,80.3,55.9,64.2,49.8,0,0,0,0,52,22.7,5,0,1,107.1,7,0,0,32,111,62,179,6,0,0,6,0,1,173,2,115,28,2,14,1,10,0,0,112,34,16.0
Noah Taylor,52348,LB,NWESTERN,2,0,0,,0,0,256,0,0,60.0,40.2,68.3,,41.3,73.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,4,0,1,6,1,0,0,1,0,0,5,0,5,1,1,1,0,0,0,0,0,0,
Zaid Hamdan,52925,DI,KENT STATE,12,5,0,,1,0,201,0,0,60.0,61.4,18.6,64.3,62.3,58.2,2,5,0,0,,8.3,2,0,3,0.0,0,0,0,0,0,0,366,366,19,298,1,48,0,0,154,212,0,14,17,3,0,7,0,0,0,
DeShawn Pace,53549,LB,UCF,12,12,0,85.0,0,0,323,0,0,71.1,68.9,31.3,56.0,72.0,56.9,3,6,0,2,30,19.5,15,1,2,84.4,34,0,0,312,5,321,675,84,1,0,83,0,5,591,59,295,268,26,50,3,40,9,1,290,173,8.5
Eric Phillips,53572,ED,CINCINNATI,12,3,0,,0,0,138,0,0,68.5,57.8,23.2,63.3,53.1,53.9,4,26,0,0,,23.8,5,0,4,0.0,0,3,0,7,0,1,486,479,1,14,346,118,0,7,261,224,0,13,13,3,0,33,0,0,0,
Iesa Jarmon,53981,CB,AKRON,5,0,0,100.0,0,0,102,0,0,58.6,61.0,75.2,,64.7,53.5,0,0,0,0,7,33.3,1,0,1,95.8,1,0,0,6,43,16,49,0,0,0,0,0,0,49,0,33,0,1,2,0,1,0,0,7,2,7.0
Jaheim Thomas,54193,LB,WISCONSIN,11,22,0,68.8,0,0,349,0,0,52.1,66.7,6.2,67.9,75.5,89.0,0,5,0,0,25,3.2,2,0,2,86.7,11,1,0,369,2,165,413,40,0,0,40,0,0,373,42,206,1,24,38,1,16,6,0,105,93,9.5
Cheikhsaliou Fall,54240,ED,CAL,12,7,1,,1,0,130,0,0,58.3,52.7,22.8,53.9,57.7,56.6,5,4,0,0,,16.7,3,0,2,0.0,0,1,0,0,0,2,250,250,1,17,158,74,0,0,161,87,0,7,8,2,0,10,0,0,0,
Malik Denkins,55516,ED,C MICHIGAN,4,2,0,,0,0,134,0,0,,62.1,75.2,64.3,59.5,75.2,0,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,25,25,0,1,22,2,0,0,6,19,0,1,0,0,0,1,0,0,0,
Jaiden Cameron,62277,ED,NWESTERN,8,3,1,,0,0,256,0,0,60.9,53.2,78.4,63.8,46.1,45.5,0,2,0,0,,16.7,1,0,0,0.0,0,0,0,0,0,1,72,72,0,0,55,17,0,0,27,44,0,1,2,0,0,2,0,0,0,
Alex Howard,62494,LB,DUKE,12,17,0,72.2,0,0,154,1,0,58.9,61.0,23.1,72.8,58.6,64.4,2,8,0,0,26,17.1,14,0,4,91.7,13,9,0,480,1,235,592,45,0,0,45,0,0,547,61,296,66,34,51,6,18,19,0,127,58,9.8
Barry Brown,62724,LB,COAST CAR,12,16,0,100.0,0,0,141,1,0,57.8,61.4,33.8,65.3,63.5,52.4,1,1,0,0,17,17.5,11,0,2,102.1,16,0,0,346,0,148,367,8,0,0,8,0,0,359,32,187,13,21,36,4,16,2,0,136,102,8.5
Kam Butler,63872,ED,VIRGINIA,12,14,1,100.0,1,1,335,0,0,63.0,71.2,62.3,74.9,64.2,47.5,8,34,0,0,25,22.2,12,1,2,118.8,2,2,0,9,0,30,692,683,2,42,584,55,0,9,366,296,0,18,28,0,2,44,0,29,35,14.5
Will Whitson,64470,DI,COAST CAR,4,5,0,,0,2,141,0,0,60.9,83.2,79.9,78.2,78.5,66.2,2,7,0,0,,11.1,2,0,0,0.0,0,2,0,0,0,0,182,182,1,128,1,52,0,0,103,79,0,11,11,3,0,11,0,0,0,
Josh Minkins,66051,S,CINCINNATI,11,12,0,57.1,0,0,138,1,0,76.3,71.3,84.2,59.1,61.6,67.6,0,0,0,2,28,15.8,9,3,0,61.0,8,0,0,308,3,237,466,3,0,0,3,0,68,463,1,228,84,16,36,2,14,0,1,91,27,11.4
Jeremiah Wood,66274,CB,OHIO,1,0,0,100.0,0,0,259,0,0,51.9,35.7,64.4,,,,0,0,0,0,5,,0,0,0,87.5,1,0,0,2,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,5,0,5.0
Ty Hamilton,66298,DI,OHIO STATE,13,12,0,0.0,0,1,260,1,0,58.4,66.4,66.8,63.8,67.3,74.4,0,8,0,0,,4.5,2,0,1,39.6,0,4,0,3,0,4,511,507,28,456,1,22,0,4,265,242,0,27,30,1,1,12,0,0,0,
Sebastian Macaluso,70536,WR,S JOSE ST,1,0,0,,0,0,285,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
