player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Kyle McCord,145053,QB,SYRACUSE,12,75.1,518,559,8.6,2.4,11,31,5.2,65.5,366,0,162,5.9,602,23,0.25,228,304,57.2,90.0,86.0,76.6,10,12,638,1,52.8,16.0,97.1,4.3,26,14,2,18,29,23,3.6,4307,7.7
Chandler Morris,122938,QB,N TEXAS,12,73.3,495,514,8.4,2.44,5,27,4.9,62.8,323,0,130,11.0,562,40,0.15,190,251,76.1,78.9,75.8,69.4,4,12,600,0,46.4,11.5,95.6,2.7,15,31,3,7,31,23,3.8,3792,7.4
Garrett Nussmeier,146757,QB,LSU,12,70.9,470,491,9.5,2.68,3,21,4.0,63.5,312,0,141,6.3,518,21,0.19,192,211,63.0,82.3,79.4,68.6,3,11,551,3,48.6,10.6,95.1,2.9,15,11,0,15,26,17,3.1,3740,7.6
Behren Morton,144747,QB,TEXAS TECH,12,74.2,434,467,8.4,2.72,12,20,4.1,63.2,295,0,133,8.4,509,27,0.11,159,315,74.9,79.7,78.6,60.2,2,8,537,1,43.8,16.5,96.6,4.3,22,19,0,19,27,15,2.8,3335,7.1
Shedeur Sanders,131396,QB,COLORADO,12,82.5,428,458,8.0,2.96,8,24,4.9,73.6,337,1,189,4.5,531,16,0.24,191,143,64.3,91.1,90.7,66.5,2,8,571,7,52.0,19.6,117.3,7.0,37,35,1,19,35,6,1.1,3925,8.6
Seth Henigan,144267,QB,MEMPHIS,12,73.4,425,452,9.1,2.83,1,28,5.8,64.6,292,0,131,6.4,495,20,0.15,150,218,70.6,80.2,77.7,66.7,6,6,525,0,46.5,14.5,96.9,3.8,19,21,0,20,23,11,2.1,3211,7.1
Cade Klubnik,156253,QB,CLEMSON,13,74.0,419,451,9.6,2.65,5,27,5.7,63.0,284,1,150,8.4,502,26,0.21,166,140,54.7,89.4,87.1,69.4,4,6,525,2,47.0,14.7,103.9,4.4,22,26,6,17,32,12,2.3,3381,7.5
Josh Hoover,127148,QB,TCU,12,76.9,420,442,8.4,2.45,5,16,3.5,66.5,294,0,114,9.0,472,29,0.24,167,305,56.2,82.8,83.6,55.3,4,10,494,3,50.4,11.4,100.3,2.8,13,15,1,12,23,17,3.4,3700,8.4
E.J. Warner,156185,QB,RICE,11,69.5,413,440,7.6,2.55,11,13,2.8,61.6,271,0,128,5.6,461,16,-0.1,126,275,60.6,66.7,66.7,51.3,2,13,480,2,40.3,5.5,79.7,1.5,7,12,0,14,17,17,3.5,2719,6.2
Owen McCown,157688,QB,UTSA,12,71.9,416,437,8.7,2.67,4,19,4.1,61.8,270,1,149,9.7,508,29,0.05,158,331,75.3,82.0,77.7,74.0,5,9,541,3,44.5,16.8,93.5,4.9,25,41,0,12,24,10,1.8,3171,7.3
Carson Beck,124010,QB,GEORGIA,12,75.3,413,436,8.8,2.53,10,22,4.7,64.9,283,0,99,9.0,480,28,0.18,176,173,46.8,83.3,82.4,62.3,4,12,511,9,49.2,17.2,98.7,3.5,17,26,0,9,28,18,3.5,3410,7.8
Cam Ward,133244,QB,MIAMI FL,12,76.6,406,435,9.5,2.92,4,28,5.9,67.4,293,0,138,5.8,491,18,0.37,208,220,49.4,92.5,91.3,77.0,3,7,532,0,53.8,16.7,118.6,4.7,23,31,0,22,36,17,3.2,4123,9.5
Noah Fifita,158722,QB,ARIZONA,12,73.4,380,430,8.7,3.14,5,16,3.6,60.5,260,0,170,6.8,488,19,0.02,146,109,68.2,76.1,73.1,69.0,6,12,512,2,44.9,17.1,83.4,5.9,29,29,0,39,18,14,2.7,2955,6.9
