"Id","Season","Week","SeasonType","StartTime","IsStartTimeTBD","HomeTeam","HomeConference","AwayTeam","AwayConference","MediaType","Outlet"
"401767727","2025","6","regular","2025-10-04T18:00:00.000Z","false","Holy Cross","Patriot","Harvard","Ivy","web","ESPN+"
"401767708","2025","13","regular","2025-11-22T17:00:00.000Z","false","Yale","Ivy","Harvard","Ivy","tv","ESPNU"
"401836055","2025","14","regular","2025-11-29T17:00:00.000Z","false","Villanova","Coastal Athletic","Harvard","Ivy","web","ESPN+"
"401767653","2025","4","regular","2025-09-20T17:00:00.000Z","false","Stetson","Pioneer","Harvard","Ivy","web","ESPN+"
"401767705","2025","9","regular","2025-10-25T16:00:00.000Z","false","Princeton","Ivy","Harvard","Ivy","web","ESPN+"
"401767706","2025","11","regular","2025-11-08T00:00:00.000Z","false","Columbia","Ivy","Harvard","Ivy","tv","ESPNU"
"401767706","2025","11","regular","2025-11-08T00:00:00.000Z","false","Columbia","Ivy","Harvard","Ivy","tv","ESPN2"
"401767620","2025","1","regular","2025-08-28T23:30:00.000Z","false","Drake","Pioneer","Upper Iowa","Great Lakes","web","ESPN+"
"401767547","2025","1","regular","2025-08-30T23:00:00.000Z","false","Southern Illinois","MVFC","Thomas More","Great Midwest Athletic","web","ESPN+"
"401767285","2025","3","regular","2025-09-13T23:00:00.000Z","false","North Alabama","UAC","Northeastern State","Independent DII","web","ESPN+"
"401767081","2025","4","regular","2025-09-20T22:00:00.000Z","false","Idaho State","Big Sky","Lincoln (CA)","Independent DII","web","ESPN+"
"401767526","2025","1","regular","2025-08-31T00:00:00.000Z","false","UT Rio Grande Valley","Southland","Sul Ross State","Lone Star","web","ESPN+"
"401767524","2025","3","regular","2025-09-14T00:00:00.000Z","false","Stephen F. Austin","Southland","Sul Ross State","Lone Star","web","ESPN+"
"401834695","2025","13","postseason","2025-11-22T18:00:00.000Z","false","Ashland","Great Midwest Athletic","Minnesota Duluth","Northern Sun","web","ESPN+"
"401752947","2025","1","regular","2025-08-31T02:00:00.000Z","false","Washington State","Pac-12","Idaho","Big Sky","tv","The CW Network"
"401767096","2025","12","regular","2025-11-16T02:00:00.000Z","false","Sacramento State","Big Sky","Idaho","Big Sky","web","ESPN+"
"401767094","2025","10","regular","2025-11-01T02:30:00.000Z","false","Northern Arizona","Big Sky","Idaho","Big Sky","tv","ESPN2"
"401767091","2025","5","regular","2025-09-28T02:15:00.000Z","false","Montana","Big Sky","Idaho","Big Sky","tv","ESPN2"
"401767092","2025","8","regular","2025-10-18T23:00:00.000Z","false","Eastern Washington","Big Sky","Idaho","Big Sky","web","ESPN+"
"401834696","2025","13","postseason","2025-11-22T18:00:00.000Z","false","Findlay","Great Midwest Athletic","Minnesota State","Northern Sun","web","ESPN+"
"401836038","2025","14","regular","2025-11-29T19:00:00.000Z","false","Indianapolis","Great Lakes","Minnesota State","Northern Sun","web","ESPN+"
"401837055","2025","15","regular","2025-12-06T18:00:00.000Z","false","Ferris State","GLIAC","Minnesota State","Northern Sun","web","ESPN+"
"401833372","2025","12","regular","2025-11-15T18:00:00.000Z","false","Albany State","SIAC","Benedict","SIAC","web","ESPN+"
"401836041","2025","14","regular","2025-11-29T18:00:00.000Z","false","Albany State","SIAC","Benedict","SIAC","web","ESPN+"
"401834640","2025","13","postseason","2025-11-22T19:00:00.000Z","false","Wingate","South Atlantic","Benedict","SIAC","web","ESPN+"
"401773979","2025","11","regular","2025-11-08T19:00:00.000Z","false","Fort Valley State","SIAC","Albany State","SIAC","web","ESPN+"
"401773977","2025","9","regular","2025-10-25T18:00:00.000Z","false","Benedict","SIAC","Albany State","SIAC","web","ESPN+"
"401773984","2025","9","regular","2025-10-25T19:00:00.000Z","false","Tuskegee","SIAC","Allen","SIAC","web","ESPN+"
"401767634","2025","1","regular","2025-08-30T22:00:00.000Z","false","Morehead State","Pioneer","Allen","SIAC","web","ESPN+"
"401774017","2025","10","regular","2025-11-01T18:00:00.000Z","false","Edward Waters","SIAC","Central State","SIAC","web","ESPN+"
"401774013","2025","4","regular","2025-09-20T16:00:00.000Z","false","Morgan State","MEAC","Central State","SIAC","web","ESPN+"
"401774027","2025","1","regular","2025-08-30T22:00:00.000Z","false","Savannah State","SIAC","Edward Waters","SIAC","web","ESPN+"
"401773995","2025","3","regular","2025-09-11T23:00:00.000Z","false","Clark Atlanta","SIAC","Fort Valley State","SIAC","tv","ESPN2"
"401773995","2025","3","regular","2025-09-11T23:00:00.000Z","false","Clark Atlanta","SIAC","Fort Valley State","SIAC","tv","ESPNU"
"401774000","2025","5","regular","2025-09-27T19:00:00.000Z","false","Tuskegee","SIAC","Fort Valley State","SIAC","web","ESPN+"
"401774018","2025","5","regular","2025-09-27T22:00:00.000Z","false","Savannah State","SIAC","Kentucky State","SIAC","web","ESPN+"
"401774019","2025","6","regular","2025-10-04T19:00:00.000Z","false","Miles","SIAC","Kentucky State","SIAC","web","ESPN+"
"401774011","2025","1","regular","2025-08-30T17:00:00.000Z","false","Central State","SIAC","Kentucky State","SIAC","web","YouTube"
"401834642","2025","13","postseason","2025-11-22T18:00:00.000Z","false","Newberry","South Atlantic","Kentucky State","SIAC","web","ESPN+"
"401767310","2025","4","regular","2025-09-20T23:00:00.000Z","false","Alabama A&M","SWAC","Lane College","SIAC","web","YouTube"
"401774023","2025","10","regular","2025-11-01T19:00:00.000Z","false","Tuskegee","SIAC","Lane College","SIAC","web","YouTube"
"401773980","2025","3","regular","2025-09-13T22:00:00.000Z","false","Allen","SIAC","Lane College","SIAC","web","YouTube"
"401774009","2025","8","regular","2025-10-18T17:00:00.000Z","false","Morehouse","SIAC","Lane College","SIAC","web","ESPN+"
"401774004","2025","10","regular","2025-11-01T22:00:00.000Z","false","Fort Valley State","SIAC","Miles","SIAC","web","ESPN+"
"401774024","2025","2","regular","2025-09-06T20:00:00.000Z","false","Edward Waters","SIAC","Miles","SIAC","web","ESPN+"
"401774025","2025","4","regular","2025-09-20T19:00:00.000Z","false","Miles","SIAC","Savannah State","SIAC","web","ESPN+"
"401774002","2025","8","regular","2025-10-18T19:00:00.000Z","false","Fort Valley State","SIAC","Savannah State","SIAC","web","ESPN+"
"401773978","2025","10","regular","2025-11-01T17:00:00.000Z","false","Albany State","SIAC","Savannah State","SIAC","web","ESPN+"
"401767436","2025","6","regular","2025-10-04T17:30:00.000Z","false","South Carolina State","MEAC","Savannah State","SIAC","web","ESPN+"
"401774026","2025","11","regular","2025-11-08T20:00:00.000Z","false","Miles","SIAC","Tuskegee","SIAC","web","ESPN+"
"401773976","2025","8","regular","2025-10-18T17:00:00.000Z","false","Albany State","SIAC","Tuskegee","SIAC","web","HBCU Go"
"401773988","2025","4","regular","2025-09-18T23:00:00.000Z","false","Benedict","SIAC","Tuskegee","SIAC","web","ESPN+"
"401774007","2025","6","regular","2025-10-04T23:00:00.000Z","false","Morehouse","SIAC","Tuskegee","SIAC","web","ESPN+"
"401773996","2025","8","regular","2025-10-18T19:00:00.000Z","false","Miles","SIAC","Clark Atlanta","SIAC","web","ESPN+"
"401773975","2025","7","regular","2025-10-11T17:00:00.000Z","false","Albany State","SIAC","Clark Atlanta","SIAC","web","ESPN+"
"401756940","2025","10","regular","2025-11-01T20:00:00.000Z","false","Kansas","Big 12","Oklahoma State","Big 12","web","ESPN+"
"401756933","2025","9","regular","2025-10-25T20:00:00.000Z","false","Texas Tech","Big 12","Oklahoma State","Big 12","tv","ESPNU"
"401756959","2025","13","regular","2025-11-22T21:00:00.000Z","false","UCF","Big 12","Oklahoma State","Big 12","web","ESPN+"
"401756910","2025","6","regular","2025-10-04T19:00:00.000Z","false","Arizona","Big 12","Oklahoma State","Big 12","tv","TNT"
"401756910","2025","6","regular","2025-10-04T19:00:00.000Z","false","Arizona","Big 12","Oklahoma State","Big 12","tv","truTV"
"401756910","2025","6","regular","2025-10-04T19:00:00.000Z","false","Arizona","Big 12","Oklahoma State","Big 12","web","HBO Max"
"401752824","2025","2","regular","2025-09-06T19:30:00.000Z","false","Oregon","Big Ten","Oklahoma State","Big 12","tv","CBS"
