player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Gavin Freeman,158078,WR,BAYLOR,2,9.8,5,68.8,66.7,2,3,0,0.0,0,0.11,13,118,0,86.7,70.6,83.1,,84.0,0.0,0,2,32,0.0,0,95,1,44.6,22,96.8,92,97.9,93,77.3,32,1,2.1,2,258,129,5.9,11.7,2.8
Chance Morrow,156320,WR,BUFFALO,2,12.5,1,62.1,45.5,5,11,1,10.0,2,-0.05,15,126,0,62.5,70.1,79.2,,78.6,1.1,1,1,57,0.0,0,89,1,36.1,18,93.3,83,5.6,5,110.8,29,5,93.3,83,221,65,3.6,12.3,2.66
KJ Duff,184654,WR,RUTGERS,2,14.7,1,60.7,44.4,4,9,0,0.0,0,0.03,16,278,0,84.7,69.7,84.7,,83.1,0.0,0,2,78,0.0,0,76,1,47.3,17,97.4,74,5.3,4,112.1,28,5,94.7,72,333,99,5.8,19.6,4.5
Carson Clark,215653,WR,S JOSE ST,3,11.0,3,70.4,40.0,2,5,0,9.5,2,0.39,9,285,0,62.9,70.1,71.9,,72.8,0.0,0,0,42,0.0,0,88,0,52.9,19,96.6,85,92.0,81,118.3,27,2,8.0,7,213,44,2.3,11.2,2.51
Onterrio Smith Jr.,170782,WR,SACRAMENTO,3,12.4,1,59.3,33.3,1,3,0,0.0,0,-0.27,8,279,0,85.1,69.9,71.8,,73.3,0.0,0,1,36,0.0,0,101,2,38.9,16,94.1,95,1.0,1,62.6,27,0,99.0,100,172,56,3.5,10.8,1.81
Matt Coleman,157831,WR,SACRAMENTO,3,13.4,0,56.0,50.0,1,2,0,0.0,0,-0.18,7,279,0,83.8,75.8,65.3,,65.5,0.0,0,2,63,0.0,0,113,0,42.1,14,94.7,107,93.8,106,93.7,25,3,6.2,7,232,55,3.9,16.6,2.17
Tony Diaz,209024,WR,IOWA,2,13.5,0,60.0,60.0,3,5,0,6.3,1,-0.03,10,192,0,69.9,69.9,74.2,,73.8,0.0,0,0,56,0.0,0,63,1,43.3,15,95.2,60,33.3,21,95.3,25,1,66.7,42,179,80,5.3,11.9,2.98
Jeremiah Smith,183710,WR,OHIO STATE,2,16.1,0,64.0,50.0,3,6,0,5.9,1,0.53,15,260,0,71.1,70.1,90.1,,89.5,0.0,0,1,48,0.0,0,61,0,59.3,16,96.7,59,19.7,12,130.4,25,3,80.3,49,315,66,4.1,19.7,5.34
TK King,157338,WR,NEW MEX ST,3,22.7,0,56.0,50.0,1,2,1,0.0,0,0.0,7,242,0,83.3,73.8,76.3,,78.9,0.0,0,1,46,0.0,0,72,1,36.8,14,94.4,68,18.1,13,98.6,25,2,81.9,59,239,58,4.1,17.1,3.51
Tama Uiliata,184180,WR,HAWAII,3,9.3,2,79.2,100.0,1,1,0,0.0,0,-0.03,11,180,0,85.9,77.4,76.4,,73.6,0.0,0,0,22,0.0,0,93,0,46.7,19,95.7,89,87.1,81,110.4,24,1,11.8,11,172,35,1.8,9.1,1.93
