player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Nate Sheppard,198337,HB,DUKE,2,60,23,5,36.2,132,0,365,1,6,23,283,201.2,15,17,154,1,28,64.1,78.8,80.3,,80.3,70.9,76.4,60.0,47,0,60,8,26,65,0,0,10,68,3,365,283,4.72,6.1,2.31,28
Jabari Bates,157835,HB,S JOSE ST,3,58,9,3,17.2,55,0,319,1,2,9,183,56.0,14,19,285,0,28,83.4,80.9,81.1,,86.3,49.0,80.4,64.4,23,0,36,4,31,70,0,0,6,62,0,319,183,3.16,5.5,1.16,26
Caden Creel,170414,QB,JVILLE ST,3,54,7,2,17.4,38,0,160,0,0,5,107,28.3,5,15,196,3,23,51.7,66.9,81.2,69.7,,87.9,57.4,60.0,20,0,16,1,1,91,59,11,1,44,2,219,126,2.33,4.1,16.0,8
King Miller,197654,HB,USC,3,48,10,1,12.3,29,0,236,1,0,10,143,59.6,6,13,326,0,32,82.2,72.1,78.5,,56.3,42.8,74.7,60.0,29,0,6,2,27,51,0,0,3,50,2,236,143,2.98,4.9,0.22,14
Cam Edwards,158615,HB,MICH STATE,2,48,10,3,36.0,90,0,250,0,0,10,184,75.2,6,15,223,1,23,58.1,72.7,79.4,,72.9,71.1,69.6,60.0,40,0,12,3,18,52,0,0,4,51,3,250,184,3.83,5.2,0.67,25
Adam Mohammed,183644,HB,CAL,2,47,15,1,10.3,20,0,194,0,3,15,178,115.5,6,11,130,0,26,82.1,72.1,80.2,,49.7,65.3,72.5,76.4,20,0,60,12,59,54,0,0,13,59,1,194,178,3.79,4.1,1.02,21
James Jones,190015,HB,NEW MEX ST,3,43,14,3,31.9,76,0,238,0,0,14,171,118.5,7,11,242,0,15,81.6,76.8,78.4,,51.0,73.1,75.4,60.0,46,0,25,4,27,46,0,0,6,47,2,238,171,3.98,5.5,0.93,28
Jaylin Carter,199210,HB,MEMPHIS,3,43,8,5,61.1,229,0,375,0,3,8,239,135.9,8,12,218,0,36,81.3,83.3,79.6,,50.9,68.2,83.3,50.4,80,0,31,2,14,52,0,0,2,45,6,375,239,5.56,8.7,2.21,6
Jai'Den Thomas,174080,HB,UNLV,3,42,12,2,31.7,71,0,224,1,3,12,166,121.0,6,10,325,1,30,58.5,65.1,2.0,,68.6,55.8,68.0,57.9,50,1,52,7,51,67,0,0,8,49,1,224,166,3.95,5.3,1.02,12
Jamal Roberts,175912,HB,MISSOURI,2,41,6,1,38.1,64,0,168,0,0,6,142,49.5,4,6,229,2,5,28.9,55.4,80.0,,86.2,55.5,54.5,60.0,64,0,-4,1,24,43,0,0,1,42,2,168,142,3.46,4.1,-0.17,32
DeVon Rice,183902,HB,HAWAII,3,41,7,2,18.5,31,0,168,0,1,7,112,42.0,4,10,180,1,17,57.7,75.2,80.6,,70.5,59.5,77.7,60.2,16,0,52,11,49,48,0,0,16,52,3,168,112,2.73,4.1,1.06,17
Caleb Hawkins,199001,HB,OKLA STATE,2,41,7,1,13.8,26,0,189,0,0,7,142,49.5,5,11,262,0,16,57.6,67.0,79.9,,22.2,60.7,70.0,58.2,26,0,27,8,52,50,0,0,10,49,1,189,142,3.46,4.6,0.52,22
Antwan Raymond,190489,HB,RUTGERS,2,41,12,3,30.1,53,0,176,0,0,12,134,87.2,5,10,278,0,8,81.1,64.3,78.6,,21.6,64.4,66.0,59.2,22,0,26,4,33,47,0,0,4,45,0,176,134,3.27,4.3,0.79,33
Dilin Jones,183664,HB,LSU,2,41,13,2,34.1,61,0,179,0,2,13,166,135.0,5,10,211,0,21,81.0,69.4,80.8,,44.2,55.8,71.9,66.6,46,0,15,4,43,50,0,0,4,45,2,179,166,4.05,4.4,0.35,20
Jackson Arnold,173684,QB,UNLV,3,40,5,2,31.7,71,0,173,0,0,2,59,11.5,6,14,325,3,22,53.1,74.5,81.7,69.1,,,70.2,60.3,54,1,0,0,0,98,51,8,0,32,3,224,105,2.63,5.6,,5
Cam Cook,173133,HB,W VIRGINIA,2,40,14,1,37.1,72,0,194,0,0,14,151,125.8,3,8,343,1,4,53.5,69.9,78.3,,76.2,67.7,66.4,73.2,72,0,11,2,13,63,0,0,2,42,3,194,151,3.78,4.9,0.85,36
Dawson Pendergrass,174637,HB,BAYLOR,2,40,9,0,0.0,0,0,157,0,1,9,117,66.5,2,10,118,0,17,80.8,77.0,78.2,,54.4,67.8,77.2,59.6,13,0,30,4,38,42,0,0,5,44,0,157,117,2.93,3.9,0.79,23
Fame Ijeboi,184725,HB,PURDUE,2,38,19,3,31.8,64,0,201,1,7,19,160,238.0,6,15,273,0,24,80.5,90.3,78.3,,80.9,67.9,91.8,59.1,25,0,72,8,40,40,0,0,9,46,4,201,160,4.21,5.3,1.8,14
Steven Robinson,216219,HB,SO MISS,2,37,4,0,0.0,0,0,171,0,0,4,113,31.3,4,12,296,0,23,80.3,72.8,78.9,,18.9,53.6,77.3,,12,0,4,2,31,37,0,0,4,39,3,171,113,3.05,4.6,0.13,14
