player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Scarlee Jean,160961,G,FAU,12,100.0,0,165,63.9,75.2,56.6,4,14,621,100.0,100.0,98.6,6,18,0,970,0,565,78,970,663,663,0,318,307,3
Vincent Fiacable,144836,C,FAU,12,100.0,0,165,67.9,83.2,60.8,0,6,621,100.0,100.0,99.4,5,7,1,967,967,0,0,967,661,661,0,0,306,0
Ryan Lengyel,144516,G,BAYLOR,12,100.0,0,118,60.4,65.9,55.6,3,17,544,100.0,100.0,97.8,0,22,2,962,0,962,0,962,590,590,0,0,372,0
Kaden Sieracki,158571,T,BAYLOR,12,100.0,2,118,63.0,56.8,65.5,2,29,537,100.0,100.0,97.1,4,31,0,948,0,0,0,948,583,583,0,948,365,0
Brycen Sanders,172527,C,OLE MISS,13,100.0,1,226,58.4,62.4,55.2,2,9,465,100.0,100.0,98.8,3,11,0,946,945,0,0,946,494,494,1,0,452,0
Jayden Williams,146815,T,OLE MISS,13,100.0,0,226,70.9,81.2,61.7,2,9,465,100.0,100.0,98.4,1,13,2,944,0,0,0,944,494,494,0,938,450,5
Patrick Kutas,163635,G,OLE MISS,13,100.0,0,226,65.2,72.7,64.7,4,8,465,100.0,100.0,98.5,6,13,1,943,0,0,0,943,494,494,942,1,449,0
Diego Pounds,143976,T,OLE MISS,13,100.0,0,226,62.9,74.9,53.8,3,10,462,100.0,100.0,98.6,2,13,0,941,0,1,938,941,491,491,0,0,450,1
Fintan Brose,142242,G,DELAWARE,12,100.0,1,151,67.3,77.9,59.9,2,12,560,100.0,100.0,98.4,1,16,2,931,142,782,0,931,602,602,0,1,329,0
Riley McGehee,188347,T,ARK STATE,12,100.0,0,113,67.0,70.5,62.7,1,25,544,100.0,100.0,96.9,4,30,4,926,0,0,562,926,581,581,0,364,345,0
Anthony Caccese,173606,G,DELAWARE,12,100.0,0,151,66.5,74.7,61.7,3,7,553,100.0,100.0,98.7,5,12,2,920,0,1,0,920,595,595,669,247,325,1
Emmanuel Kojo Poku,162652,G,E CAROLINA,12,100.0,0,156,64.1,67.5,63.2,2,10,444,100.0,100.0,98.6,4,12,0,913,0,0,0,913,475,475,912,0,438,0
Darius Bell,148375,C,E CAROLINA,12,100.0,0,156,55.5,64.1,54.7,2,13,444,100.0,100.0,98.1,8,16,1,913,913,0,0,913,475,475,0,0,438,0
Simon Wilson,170493,C,TULSA,12,100.0,2,320,66.4,69.8,64.2,2,7,459,100.0,100.0,99.0,4,9,0,910,899,0,0,910,499,499,11,0,411,0
Wil Saxton,156838,G,ARK STATE,12,100.0,0,113,62.1,64.0,60.5,1,23,526,100.0,100.0,97.3,4,26,2,905,0,0,0,905,563,563,905,0,342,0
Jack Hollifield,144079,C,TULANE,13,100.0,0,319,57.8,63.5,54.9,0,15,453,100.0,100.0,98.1,7,16,1,897,897,0,0,897,478,478,0,0,419,0
Tyhler Williams,156886,G,GA STATE,12,100.0,0,175,50.7,54.1,51.1,9,16,525,100.0,100.0,97.4,6,26,1,888,419,469,0,888,566,566,0,0,322,0
Will Flowers,138993,C,APP STATE,12,100.0,0,108,63.4,70.7,64.6,0,11,526,100.0,100.0,98.8,8,12,1,885,885,0,0,885,552,552,0,0,333,0
Amare Grayson,189783,G,JVILLE ST,12,100.0,1,196,67.4,69.1,65.0,1,7,353,100.0,100.0,98.6,3,9,1,878,0,0,21,878,377,377,855,0,501,1
Ja'Kavion Nonar,162800,T,FAU,11,100.0,3,165,56.9,61.0,56.4,6,25,562,100.0,100.0,96.9,11,33,2,876,0,0,865,876,602,602,0,1,274,8
Cayden Sweatt,175006,G,APP STATE,12,100.0,1,108,62.6,68.0,58.9,1,9,521,100.0,100.0,98.3,3,14,4,876,0,875,0,876,547,547,0,0,329,1
Malik Williams,128441,T,NEW MEX ST,12,100.0,0,242,52.9,49.0,58.4,7,17,537,100.0,100.0,96.3,5,32,8,874,0,0,832,874,577,577,0,42,297,0
Adam Lepkowski,145455,C,UAB,12,100.0,1,321,69.9,78.7,66.3,1,8,486,100.0,100.0,98.5,6,12,3,873,871,0,0,873,515,515,0,0,358,2
Kadyn Proctor,172392,T,ALABAMA,13,99.4,0,103,85.4,81.8,81.6,4,13,501,99.6,99.6,97.9,2,19,2,873,0,0,857,878,525,527,0,0,348,13
Kage Casey,157197,T,BOISE ST,12,100.0,1,120,79.0,78.9,75.2,0,5,445,100.0,100.0,98.5,2,9,4,872,0,0,864,872,474,474,0,0,398,8
Alvin Ebosele,158554,T,HOUSTON,12,100.0,2,182,55.2,42.3,63.2,8,19,388,100.0,100.0,95.7,8,30,3,870,0,0,849,870,423,423,0,21,447,0
Sully Burns,158410,T,TEXAS ST,12,100.0,0,314,68.0,63.7,67.0,2,16,413,100.0,100.0,96.6,1,23,5,870,0,0,5,870,439,439,0,861,431,3
Canon Boone,146846,C,MISS STATE,12,100.0,1,227,66.5,75.6,64.1,3,5,440,100.0,100.0,98.4,5,11,3,869,869,0,0,869,465,465,0,0,404,0
Brock Riker,190110,C,TEXAS ST,12,100.0,1,314,71.7,79.1,71.5,1,6,413,100.0,100.0,99.2,7,7,0,868,868,0,0,868,438,438,0,0,430,0
Daylon Metoyer,190992,T,BOISE ST,12,100.0,1,120,43.0,44.8,48.6,2,32,438,100.0,100.0,95.9,10,35,1,867,0,0,0,867,465,465,0,867,402,0
JonDarius Morgan,146917,G,UAB,12,99.9,1,321,70.6,78.4,66.4,3,8,482,99.8,99.8,98.9,2,11,0,867,0,0,1,868,510,511,847,14,357,6
Broderick Roman,100253,C,SO MISS,12,100.0,1,296,63.4,74.1,62.8,0,10,454,100.0,100.0,98.9,10,10,0,866,710,0,0,866,492,492,156,0,374,0
Zhen Sotelo,146067,G,HAWAII,12,100.0,0,180,63.4,75.8,55.9,0,5,568,100.0,100.0,99.6,4,5,0,861,0,854,0,861,595,595,0,5,266,0
Shadre Hurst,158418,G,TULANE,13,100.0,1,319,79.2,92.1,78.7,1,4,431,100.0,100.0,99.2,9,6,1,860,0,802,54,860,454,454,2,0,406,1
Max Iheanachor,171881,T,ARIZONA ST,12,100.0,3,110,72.5,78.3,66.8,3,11,452,100.0,100.0,98.5,8,14,0,860,0,0,0,860,484,484,0,859,376,0
Nick Krahe,173185,T,W VIRGINIA,12,100.0,1,343,63.5,71.9,57.4,3,13,378,100.0,100.0,97.6,7,17,1,860,0,0,856,860,395,395,0,0,465,4
Nikola Milovac,169998,T,KENNESAW,12,100.0,1,200,48.9,51.9,51.3,5,21,414,100.0,100.0,96.6,10,27,1,859,0,0,0,859,439,439,0,841,420,18
Zach Greenberg,190848,C,JAMES MAD,13,100.0,0,197,67.7,68.7,65.6,1,9,376,100.0,100.0,98.1,4,12,2,858,858,0,0,858,402,402,0,0,456,0
James Milovale,175703,T,HAWAII,12,100.0,0,180,57.5,57.0,59.1,6,14,568,100.0,100.0,97.9,7,22,2,857,0,0,0,857,595,595,0,851,262,6
Emeka Obigbo,168593,G,TEXAS ST,12,100.0,0,314,56.3,70.6,51.2,0,7,408,100.0,100.0,98.9,3,8,1,855,0,852,0,855,434,434,0,0,421,3
BJ Tolo,175687,G,NEW MEX ST,12,100.0,0,242,63.4,62.2,65.4,3,14,524,100.0,100.0,98.0,5,19,2,854,267,0,0,854,562,562,587,0,292,0
Eric Meeks,53398,C,MARSHALL,12,100.0,1,214,65.6,73.9,61.5,0,8,381,100.0,100.0,98.4,5,10,2,852,852,0,0,852,406,406,0,0,446,0
Shunmarkus Adams,150889,G,MARSHALL,12,100.0,0,214,60.1,71.4,57.4,4,8,381,100.0,100.0,98.2,4,13,1,852,0,852,0,852,406,406,0,0,446,0
Kwabena Asamoah,156503,G,RUTGERS,12,100.0,0,278,71.5,76.9,68.3,4,6,441,100.0,100.0,98.6,0,11,1,849,0,0,0,849,466,466,849,0,383,0
Anwar O'neal,178137,T,DELAWARE,11,100.0,1,151,66.3,68.4,62.3,2,11,515,100.0,100.0,97.6,3,19,6,849,0,2,846,849,554,554,1,0,295,0
Dorion Strawn,150063,T,TEXAS ST,12,100.0,1,314,75.6,81.4,70.6,1,15,406,100.0,100.0,97.5,5,18,2,848,0,0,836,848,431,431,0,0,417,12
Bryan Felter,129877,G,RUTGERS,12,100.0,0,278,69.8,64.4,70.5,4,8,441,100.0,100.0,98.0,1,15,3,846,0,846,0,846,466,466,0,0,380,0
Parker Mitchell,159177,G,MEMPHIS,12,100.0,0,218,60.7,72.3,59.3,3,16,455,100.0,100.0,96.6,8,25,6,845,0,0,0,845,483,483,761,84,362,0
Jim Bonifas,144544,C,IOWA STATE,12,100.0,1,193,72.2,78.5,68.5,1,7,394,100.0,100.0,99.0,2,8,0,845,845,0,0,845,419,419,0,0,426,0
Malachi Breland,169934,G,MEMPHIS,12,100.0,0,218,69.4,77.6,65.8,3,10,454,100.0,100.0,98.3,4,14,1,845,0,845,0,845,482,482,0,0,363,0
Yakari Walker,147380,C,MEMPHIS,12,100.0,0,218,60.3,66.1,60.5,3,20,454,100.0,100.0,96.6,7,27,4,845,845,0,0,845,482,482,0,0,363,0
Febechi Nwaiwu,145324,G,OKLAHOMA,13,100.0,0,261,69.6,91.6,59.3,0,2,479,100.0,100.0,99.8,1,2,0,845,144,54,0,845,505,505,647,0,340,0
Chris Adams,145359,T,MEMPHIS,12,100.0,1,218,67.4,64.7,69.8,2,16,453,100.0,100.0,96.0,8,27,9,843,0,0,843,843,481,481,0,0,362,0
Jacoby Jackson,144756,G,MISS STATE,12,100.0,1,227,61.2,71.6,56.6,1,13,425,100.0,100.0,97.9,2,16,2,843,0,420,0,843,451,451,420,0,392,0
Hayes Creel,160187,T,SO MISS,12,100.0,1,296,56.2,60.8,50.4,2,17,440,100.0,100.0,97.6,4,20,1,843,0,1,0,843,475,475,0,842,368,0
Brandon Best,156298,G,KENNESAW,12,100.0,0,200,60.9,85.4,52.7,0,4,407,100.0,100.0,99.3,0,5,1,843,0,842,0,843,431,431,0,0,412,1
Coleton Price,158567,C,BAYLOR,11,100.0,1,118,71.0,83.6,69.5,0,6,483,100.0,100.0,99.2,9,7,1,842,842,0,0,842,526,526,0,0,316,0
Malachi Preciado,162892,C,S ALABAMA,12,100.0,0,288,61.8,66.2,59.9,2,6,331,100.0,100.0,98.5,2,9,1,842,842,0,0,842,363,363,0,0,479,0
Mason Myers,172201,C,ARK STATE,11,100.0,1,113,60.0,68.7,60.6,0,15,494,100.0,100.0,98.3,9,16,1,842,842,0,0,842,528,528,0,0,314,0
Cam Griffin,170422,G,JVILLE ST,12,100.0,1,196,64.4,73.3,61.9,0,14,337,100.0,100.0,97.3,3,16,2,841,85,375,311,841,359,359,3,59,482,7
Dominick Giudice,144942,G,MISSOURI,12,100.0,1,229,70.1,78.6,67.7,1,10,390,100.0,100.0,98.3,5,12,1,840,0,839,0,840,411,411,0,0,429,1
Quincy Jenkins,122299,G,W KENTUCKY,12,100.0,2,346,59.6,72.0,54.2,1,14,495,100.0,100.0,98.5,4,15,0,840,0,0,0,840,522,522,840,0,318,0
Marshall Jackson,72689,T,W KENTUCKY,12,100.0,0,346,63.2,69.1,56.0,4,10,495,100.0,100.0,97.6,3,19,5,840,0,0,827,840,522,522,0,0,318,12
George Maile,158562,G,UTAH ST,12,99.8,1,329,55.0,56.6,58.4,2,10,462,100.0,99.6,97.2,13,19,7,838,0,837,0,840,500,502,0,0,338,2
