player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,week
Korey Foreman,70831,ED,FRESNO ST,1,0,0,100.0,0,0,169,0,0,46.2,45.5,75.2,53.8,59.4,52.2,0,1,0,0,16.0,25.0,1,0,0,118.8,1,0,0,0,0,3,21,21,0,0,19,2,0,0,6,12,0,2,3,0,1,1,0,16,9,16.0,0
Justin Flowe,72388,LB,UNLV,1,1,0,,0,0,325,0,0,60.7,76.6,71.7,55.6,83.1,76.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,10,0,3,11,0,0,0,0,0,0,11,3,5,1,1,1,0,0,0,0,0,0,,0
Jadon Pearson,72538,LB,FRESNO ST,1,4,0,100.0,0,0,169,0,0,44.6,51.2,76.5,57.3,61.2,85.7,0,1,0,0,15.0,0.0,0,0,0,103.1,4,0,0,46,1,19,54,4,0,0,4,0,0,50,4,31,3,1,8,1,4,1,0,35,25,8.8,0
Ose Egbase,90529,ED,UNLV,1,2,0,,0,0,325,0,0,60.5,54.4,77.0,74.1,37.8,22.0,0,2,0,0,,50.0,3,0,0,0.0,0,0,0,0,0,1,36,36,1,4,31,0,0,0,20,15,0,0,1,0,0,2,0,0,0,,0
Virdel Edwards II,99286,CB,HAWAII,1,0,0,50.0,0,0,180,0,0,77.7,73.7,75.6,,52.5,38.8,0,0,0,0,5.0,33.3,1,1,0,56.3,1,0,0,8,49,30,57,0,0,0,0,0,0,57,0,27,0,2,2,0,2,0,0,5,0,5.0,0
Cecil Powell,99735,S,SM HOUSTON,1,0,0,66.7,1,0,281,0,0,69.5,70.0,79.6,57.6,69.0,82.1,0,0,0,0,48.0,0.0,0,1,1,105.6,4,0,0,19,0,41,62,3,0,0,3,0,0,59,2,19,40,1,5,0,6,0,0,69,32,17.3,0
De'Jon Benton,100445,DI,HAWAII,1,2,0,,0,0,180,0,0,,57.5,0.0,62.0,60.3,35.6,0,0,0,0,,33.3,2,0,1,0.0,0,0,0,0,0,0,48,48,2,28,12,6,0,0,20,28,0,1,2,0,0,0,0,0,0,,0
Clay Patterson,106446,DI,STANFORD,1,0,0,,0,1,300,0,0,,90.3,0.0,92.5,60.7,34.4,1,0,0,0,,100.0,1,0,1,0.0,0,2,0,0,0,0,28,28,2,14,0,12,0,0,22,6,0,2,0,0,0,3,0,0,0,,0
Kenean Caldwell,122551,DI,KANSAS,1,0,0,,0,0,198,1,0,,72.0,74.7,64.2,70.3,44.1,0,0,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,0,21,21,12,9,0,0,0,0,7,14,0,3,3,1,0,0,0,0,0,,0
Cody Stufflebean,122619,ED,KANSAS ST,1,0,0,100.0,0,0,199,0,0,57.8,54.6,77.2,61.2,57.0,27.5,0,0,0,0,15.0,33.3,1,0,0,118.8,1,0,0,0,0,1,49,49,0,21,20,8,0,0,22,26,0,1,2,0,1,0,0,15,18,15.0,0
