team,side,position,depth_rank,name,class_year,jersey,ourlads_id
Air Force Falcons,offense,WR-X,1,Jonah Dawson,JR,8,176085
Air Force Falcons,offense,WR-X,2,Adam Hrynciw,SR,10,170717
Air Force Falcons,offense,WR-X,3,Grant Wayne,SR,19,170742
Air Force Falcons,offense,WR-X,4,Jet Wiley,SR,16,170743
Air Force Falcons,offense,WR-Z,1,Matt Long,JR,3,176075
Air Force Falcons,offense,WR-Z,2,Mason Hayes,JR,18,176063
Air Force Falcons,offense,WR-Z,3,Owen Chambers,SR,0,170745
Air Force Falcons,offense,WR-Z,4,Sylas Maiava-Alaimalo,SO,29,181052
Air Force Falcons,offense,LT,1,Nathan Elwood,SR,52,170708
Air Force Falcons,offense,LT,2,Brandon Nazworth,JR,73,176100
Air Force Falcons,offense,LT,3,Alex Boyd,SO,76,181031
Air Force Falcons,offense,LG,1,TJ Tarascio,SR,58,170737
Air Force Falcons,offense,LG,2,Alec Falk,SR,75,170709
Air Force Falcons,offense,LG,3,Henry Rickels,SR,50,170730
Air Force Falcons,offense,C,1,Rudy Varela,SR,51,170741
Air Force Falcons,offense,C,2,Johnique Thomas,JR,59,176109
Air Force Falcons,offense,C,3,Gary Lassley,SO,78,181048
Air Force Falcons,offense,C,4,Peyton Knoebel,JR,77,176096
Air Force Falcons,offense,RG,1,Jon Ashford,JR,72,176076
Air Force Falcons,offense,RG,2,Brody Smith,JR,57,176107
Air Force Falcons,offense,RG,3,Cole Anderson,SO,67,181077
Air Force Falcons,offense,RT,1,Luke Vonderhaar,SR,55,164452
Air Force Falcons,offense,RT,2,Marcus Roser,JR,71,176106
Air Force Falcons,offense,RT,3,Jake Sulzberger,SO,66,181067
Air Force Falcons,offense,TE,1,Simon Kibbee,SR,80,170719
Air Force Falcons,offense,TE,2,Griffin Stalfort,SR,53,170736
Air Force Falcons,offense,TE,3,Samuel Rhoades V,JR,84,176103
Air Force Falcons,offense,TE,4,Mitchell Blakeslee,SR,85,170699
Air Force Falcons,offense,QB,1,Liam Szarka,JR,9,176054
Air Force Falcons,offense,QB,2,Josh Johnson,SR,11,170749
Air Force Falcons,offense,QB,3,Evan Medders,SO,5,181056
Air Force Falcons,offense,QB,4,Kemper Hodges,SR,4,170716
Air Force Falcons,offense,RB,1,Rocco Conti,SR,44,170706
Air Force Falcons,offense,RB,2,Jalen Rashad Turner,SR,26,170740
Air Force Falcons,offense,RB,3,Keegan Sack,SO,20,181064
Air Force Falcons,offense,RB,4,Mason Lowe,JR,33,176068
Air Force Falcons,offense,FB,1,Owen Allen,SR,2,170698
Air Force Falcons,offense,FB,2,Gage LaDue,JR,28,176066
Air Force Falcons,offense,FB,3,Travis Wood,JR,43,176073
Air Force Falcons,offense,FB,4,Luke Rauh,JR,24,176070
Air Force Falcons,defense,DE,1,Jaylin Reese,JR,45,176102
Air Force Falcons,defense,DE,2,Antonio Menard,JR,48,176098
Air Force Falcons,defense,DE,3,Grady Forsythe,JR,50,176088
Air Force Falcons,defense,DE,4,DeSean Davis,JR,18,176084
Air Force Falcons,defense,NT,1,Bennett Williams,JR,97,176117
Air Force Falcons,defense,NT,2,Lukia Rawls Jr.,SR,91,170729
Air Force Falcons,defense,NT,3,Jayden Oquendo,SR,99,170726
Air Force Falcons,defense,NT,4,Christian Krietzer,SO,98,181046
Air Force Falcons,defense,DT,1,Chaz Barnett,JR,59,176077
Air Force Falcons,defense,DT,2,Andrew Tillett,SR,93,170738
Air Force Falcons,defense,DT,3,Charlie Gleason,SR,96,170712
Air Force Falcons,defense,DT,4,Noah Daniels,SO,95,181078
Air Force Falcons,defense,OLB,1,Isaac Hubert,SR,30,170718
Air Force Falcons,defense,OLB,2,Jake Kepler,JR,47,176095
Air Force Falcons,defense,OLB,3,Jalen Davis,JR,34,176114
Air Force Falcons,defense,OLB,4,Connor Vasek,SO,92,181071
Air Force Falcons,defense,WLB,1,Blake Fletcher,SR,6,170711
Air Force Falcons,defense,WLB,2,Luke Fisher,SR,0,170747
Air Force Falcons,defense,WLB,3,Jonah Bowman,JR,44,176078
Air Force Falcons,defense,WLB,4,Seth McFarland,SO,43,181054
Air Force Falcons,defense,MLB,1,Dallas Daley,SR,8,170707
Air Force Falcons,defense,MLB,2,Vinnie Canosa,JR,51,176081
Air Force Falcons,defense,MLB,3,Brodie Mitchell,JR,39,176099
Air Force Falcons,defense,MLB,4,Andrew Jurasek,SO,32,181044
Air Force Falcons,defense,LCB,1,Korey Johnson,JR,2,176074
Air Force Falcons,defense,LCB,2,Ehimen Oyamendan,SO,22,178768
Air Force Falcons,defense,LCB,3,RJ Reedus,SO,11,178705
Air Force Falcons,defense,LCB,4,Jerome Drain,SO,10,181038
Air Force Falcons,defense,SS,1,Kyle Chen,JR,3,170705
Air Force Falcons,defense,SS,2,Roger Jones Jr.,JR,5,176064
Air Force Falcons,defense,SS,3,Nick Beckwith,JR,7,176058
Air Force Falcons,defense,SS,4,Houston Hendrix,SR,19,170714
Air Force Falcons,defense,FS,1,Max Mustell,SO,36,178706
Air Force Falcons,defense,FS,2,Cade Paterson,SO,23,181060
Air Force Falcons,defense,FS,3,Joseph Kramlich,SO,13,181045
Air Force Falcons,defense,FS,4,JT Tomescko,JR,20,176072
Air Force Falcons,defense,RCB,1,Mikhail Seiken,JR,4,176071
