Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134270-174175,QB,Jayden,Jayden Maiava,Maiava,26.579999287923176,3,11800,USC@RUT,USC,RUT,,,,,,QB/Super FLEX
134270-167966,QB,Gunner,Gunner Stockton,Stockton,29.65999984741211,1,11200,UGA@ARK,UGA,ARK,,,,,,QB/Super FLEX
134270-183926,QB,Devon,Devon Dampier,Dampier,28.290000915527344,2,11000,UTST@UTAH,UTAH,UTST,,,,,,QB/Super FLEX
134270-230094,QB,Trinidad,Trinidad Chambliss,Chambliss,25.81999969482422,2,10800,LSU@MISS,MISS,LSU,,,,,,QB/Super FLEX
134270-174793,QB,Kevin,Kevin Jennings,Jennings,32.2400016784668,2,10700,SMU@LOU,SMU,LOU,,,,,,QB/Super FLEX
134270-199567,RB,Jadan,Jadan Baugh,Baugh,34,1,10600,UF@AUB,UF,AUB,,,,,,RB/Super FLEX
134270-166961,QB,Byrum,Byrum Brown,Brown,24.450000762939453,2,10600,UF@AUB,AUB,UF,,,,,,QB/Super FLEX
134270-190967,QB,Sam,Sam Leavitt,Leavitt,36.22999954223633,2,10500,LSU@MISS,LSU,MISS,Q,Shoulder,,,,QB/Super FLEX
134270-223168,QB,Kamario,Kamario Taylor,Taylor,34.869998931884766,2,10400,MSST@SCAR,MSST,SCAR,,,,,,QB/Super FLEX
134270-187385,QB,Lincoln,Lincoln Kienholz,Kienholz,35.18000030517578,1,10300,SMU@LOU,LOU,SMU,,,,,,QB/Super FLEX
134270-199858,RB,Wayshawn,Wayshawn Parker,Parker,30.600000381469727,2,10300,UTST@UTAH,UTAH,UTST,,,,,,RB/Super FLEX
134270-184350,RB,Cam,Cam Cook,Cook,28.299999237060547,1,10200,WVU@UVA,WVU,UVA,,,,,,RB/Super FLEX
134270-225796,QB,Bear,Bear Bachmeier,Bachmeier,30.3799991607666,1,10200,BYU@CSU,BYU,CSU,,,,,,QB/Super FLEX
134270-202172,QB,CJ,CJ Carr,Carr,21.540000915527344,2,10100,MSU@ND,ND,MSU,,,,,,QB/Super FLEX
134270-202665,RB,Kewan,Kewan Lacy,Lacy,18.549999237060547,2,10100,LSU@MISS,MISS,LSU,,,,,,RB/Super FLEX
