Team,Conference.y,Nat_Bet365,Nat_BetMGM,Nat_Caesars,Nat_DraftKings,Nat_FanDuel,Nat_RiversCasino,Conf_Bet365,Conf_BetMGM,Conf_Caesars,Conf_DraftKings,Conf_FanDuel,Conf_RiversCasino,Win_BetMGM_Line,Win_BetMGM_Odds,Win_BetMGM_OverUnder,Win_BetMGM_TotalLine,Win_Caesars_Line,Win_Caesars_Odds,Win_Caesars_OverUnder,Win_Caesars_TotalLine,Win_DraftKings_Line,Win_DraftKings_Odds,Win_DraftKings_OverUnder,Win_DraftKings_TotalLine,Win_FanDuel_Line,Win_FanDuel_Odds,Win_FanDuel_OverUnder,Win_FanDuel_TotalLine,Win_RiversCasino_Line,Win_RiversCasino_Odds,Win_RiversCasino_OverUnder,Win_RiversCasino_TotalLine
Ohio State,Big Ten,175,+600,+575,+550,+500,+600,+170,+180,+175,+170,+165,+170,9.5,-185,Over,o9.5,,,,,,,,,9.5,-180,Over,o9.5,9.5,-180,Over,o9.5
Indiana,Big Ten,500,+900,+900,+950,+950,+850,+270,+250,+240,+255,+280,+280,10.5,100,Over,o10.5,,,,,,,,,10.5,-128,Over,o10.5,10.5,-115,Over,o10.5
Notre Dame,FBS Independents,900,+650,+625,+610,+800,+600,,,,,,,11.5,170,Over,o11.5,,,,,,,,,11.5,186,Over,o11.5,11.5,165,Over,o11.5
Oregon,Big Ten,1100,+1000,+900,+950,+950,+900,+290,+300,+290,+280,+310,+315,10.5,115,Over,o10.5,,,,,,,,,10.5,114,Over,o10.5,10.5,125,Over,o10.5
Texas Tech,Big 12,1200,+2200,+2000,+2200,+2000,+2000,-105,-105,-110,-105,-105,-121,11.5,170,Over,o11.5,,,,,10.5,-200,Over,o10.5,11.5,158,Over,o11.5,10.5,-195,Over,o10.5
Alabama,SEC,1400,+2500,+2500,+2500,+2500,+2300,+900,+850,+900,+850,+1000,+900,8.5,-125,Over,o8.5,,,,,,,,,8.5,-114,Over,o8.5,8.5,-125,Over,o8.5
Georgia,SEC,1000,+800,+800,+720,+700,+750,+250,+250,+225,+250,+270,+265,10.5,125,Over,o10.5,,,,,10.5,130,Over,o10.5,10.5,118,Over,o10.5,9.5,-200,Over,o9.5
Texas A&M,SEC,700,+2500,+2500,+2500,+2500,+2200,+1200,+1300,+1300,+1400,+1100,+1200,8.5,120,Over,o8.5,,,,,8.5,115,Over,o8.5,8.5,118,Over,o8.5,8.5,120,Over,o8.5
Miami,ACC,7500,+900,+825,+900,+950,+900,-210,-185,-190,-182,-200,-215,,,,,,,,,,,,,10.5,-220,Over,o10.5,,,,
Oklahoma,SEC,2800,+2200,+2200,+2800,+1900,+2000,+850,+950,+950,+950,+900,+800,8.5,105,Over,o8.5,,,,,,,,,8.5,114,Over,o8.5,8.5,105,Over,o8.5
