game_id,week,home_team,away_team,home_spread,total
e564afb0a5ab84ab43befa56bdb90522,1,Rutgers Scarlet Knights,UMass Minutemen,-29.0,51.5
f089e3d943a34a9c4fe1808568b96529,1,Wake Forest Demon Deacons,Akron Zips,-24.0,48.5
2f02052c3228ed6d9dc2e8ff8cdf5cdd,1,Buffalo Bulls,Albany,-23.5,48.5
d9f49d1967af91e2aade42979e8c65c8,1,UCF Knights,Bethune-Cookman Wildcats,-42.5,59.0
99279326548a5f5399cc9a2efe27a057,1,Delaware Blue Hens,Merrimack Warriors,-28.5,55.5
018e668269a3b5dc4055758ca86b1062,1,Kennesaw State Owls,West Georgia Wolves,-23.5,51.5
64cf9eedef7f4c7a764860a59f3c4329,1,Missouri Tigers,Arkansas Pine Bluff Golden Lions,-53.5,60.5
1d6daad1c93bf7e5ae16be1db12e27d5,1,Georgia Tech Yellow Jackets,Colorado Buffaloes,-7.0,50.5
e746bf44bc7bb95a7686770723882d70,1,Minnesota Golden Gophers,Eastern Illinois Panthers,-42.5,51.5
86e3c86de584357bb263fa4ae819ed30,1,Utah Utes,Idaho Vandals,-34.5,57.5
1697069330d0343bdf7930ac0b0c3863,1,Illinois Fighting Illini,UAB Blazers,-27.5,55.0
171952045c3039d592807265d36b60d0,1,Eastern Michigan Eagles,San Jose State Spartans,-3.0,56.0
d500b645ddca0f63d4d383778b3d5b21,1,Georgia State Panthers,North Carolina A&T Aggies,-28.5,63.5
c424c1d6579f60f93c37698cc82f2ceb,1,Purdue Boilermakers,Indiana State Sycamores,-35.5,56.5
604ae01f960f7be32aeb554f733be590,1,Kansas Jayhawks,LIU Sharks,-39.5,53.5
05c2e060c97c538faeee8237a0bd60f0,1,Michigan State Spartans,Toledo Rockets,-9.5,46.5
7356f9bad07c48fc6b78f52e38c85c11,1,Oklahoma Sooners,UTEP Miners,-41.5,50.5
a77e0c42754f1a99ae4fbea861a78408,1,USC Trojans,Fresno State Bulldogs,-22.0,52.0
5f92cc707afed4249e1e935dbbeacb5e,1,Stanford Cardinal,Miami Hurricanes,24.5,48.0
b10ebab18213ecdc575885bfa874b98d,1,Alabama Crimson Tide,East Carolina Pirates,-28.0,52.5
4deedbb327684841cd9aad6ffb77c3fc,1,Army Black Knights,Bryant Bulldogs,-36.5,50.5
de634e2b9f72c5df734fcb741f2dc061,1,Bowling Green Falcons,Tarleton State Texans,-2.5,47.5
185883640e8f90f283915ddadb0230a3,1,West Virginia Mountaineers,Coastal Carolina Chanticleers,-20.5,56.0
4289d82f1cd4747962ff68c9098c6dcc,1,Houston Cougars,Oregon State Beavers,-20.5,49.5
e599d006aed0025ea9182d6763be6fd7,1,Indiana Hoosiers,North Texas Mean Green,-40.5,55.5
ad4b1c809d35ea03f513ccb45746e998,1,James Madison Dukes,Liberty Flames,-7.0,51.0
71bac5fe0b10ac1e55892793b5ff9126,1,UConn Huskies,Lafayette Leopards,-19.5,57.5
ab601e833e1494159df16e0331dd02d4,1,Pittsburgh Panthers,Miami (OH) RedHawks,-16.5,48.5
0b8f9bbc0bf1b04a819f0113922998b0,1,Nebraska Cornhuskers,Ohio Bobcats,-23.5,46.5
f7c217b83839dba1c4df08e372851916,1,Syracuse Orange,New Hampshire Wildcats,-33.5,55.5
9bb89639201454f186964f5b86365760,1,Ohio State Buckeyes,Ball State Cardinals,-50.5,56.5
994c7280c9e8dcb041c260eb2c767d4d,1,South Carolina Gamecocks,Kent State Golden Flashes,-36.0,53.5
ce384d78c826a2fee9787dec17269464,1,Air Force Falcons,Duquesne Dukes,-28.5,57.5
0e7a154b072a69dce76b6403f608b476,1,Iowa State Cyclones,Southeast Missouri State Redhawks,-30.0,52.5
6ba4c2cb4e23d19069d00b47716c95c9,1,Kentucky Wildcats,Youngstown St Penguins,-23.5,62.5
427c4b920f96292167b4643eb94b2fa5,1,Temple Owls,Rhode Island Rams,-9.5,51.5
6a210786327aaa1d1d7565f7b119f094,1,Georgia Bulldogs,Tennessee State Tigers,-46.5,56.5
9d83b5d81e825f63cd4bbb1f75f1a508,1,Appalachian State Mountaineers,Maine Black Bears,-18.5,53.5
525909f6be5e505d076a97eb097528eb,1,Auburn Tigers,Baylor Bears,-7.5,58.5
ac175733be9ad7061abab75fe080d18a,1,Oregon Ducks,Boise State Broncos,-24.5,51.0
9e750af965ce9f276f4280686d4dba35,1,Cincinnati Bearcats,Boston College Eagles,-7.5,49.5
897638282df1d5781867ee8fb9b494f2,1,Charlotte 49ers,Citadel Bulldogs,-19.5,46.5
8154373235ce2adf76b37ecd334601fc,1,Duke Blue Devils,Tulane Green Wave,-7.5,51.0
3d0ba3d979787ef14b6fb75e65455672,1,North Dakota State Bison,Fordham Rams,-39.5,56.5
c87470467f02dc3279d33b69db9bae63,1,Tennessee Volunteers,Furman Paladins,-46.5,66.5
3b70c72dad6ee188202de37cf3218811,1,Penn State Nittany Lions,Marshall Thundering Herd,-24.5,52.5
fc7e0d9b83e3da0d637ba983b9eed9d5,1,Navy Midshipmen,Towson Tigers,-30.5,52.5
932e0ced2b1a1ae5694574642bb186ae,1,Texas Longhorns,Texas State Bobcats,-29.5,59.5
2f1711e252f72bdbcfbce991ce7fd442,1,UTSA Roadrunners,UT Rio Grande Valley Vaqueros,-28.5,59.5
2da3627714934ad966d548980bb69658,1,Tulsa Golden Hurricane,Oklahoma State Cowboys,13.5,57.5
244ad71a1e9f6afa8001cc674aec1558,1,Arkansas Razorbacks,North Alabama Lions,-40.5,63.25
261e6183f68405cd431bbdbd0c31eefa,1,Iowa Hawkeyes,Northern Illinois Huskies,-31.5,44.5
3da928fcc2533b3638a7a05f8cce5d12,1,Southern Mississippi Golden Eagles,Alcorn State Braves,-21.5,50.5
ddf45575d5d07af2872a07618f9f7867,1,Colorado State Rams,Wyoming Cowboys,-3.0,46.5
6dfe38a40bc077f3c10d6aa9333f512d,1,Old Dominion Monarchs,Norfolk State Spartans,-41.5,54.5
0c4c84793ee16b40df982640f76a4d9b,1,Texas Tech Red Raiders,Abilene Christian Wildcats,-42.5,59.25
57c73afe255c44ef3e19b52dc9557ea8,1,Memphis Tigers,Arkansas State Red Wolves,-11.5,52.0
d7c91dabe6e413cca1b7d0d6d8dc7a15,1,Vanderbilt Commodores,Austin Peay Governors,-30.5,60.5
1107b27a3395b91cf33c3475755ed37f,1,Georgia Southern Eagles,Charleston Southern Buccaneers,-25.5,51.5
f918d3d3ebf6112ff1362c0f48465204,1,Jacksonville State Gamecocks,Eastern Kentucky Colonels,-20.5,54.5
85b9f3dfd3a9deeaaa046572f9b4fbeb,1,South Florida Bulls,Florida International Panthers,-14.0,52.0
34c23c88d29703e3b8a3b0b9d29a7c31,1,Rice Owls,Houston Baptist Huskies,-22.5,47.5
e6624a0cd664a38cde2f68f865e0536f,1,Utah State Aggies,Idaho State Bengals,-12.5,62.5
b4077e17d5393758cd18778ca067bd0a,1,Kansas State Wildcats,Nicholls State Colonels,-41.0,55.0
965fa47588c773e6753d409fc1020dec,1,Michigan Wolverines,Western Michigan Broncos,-27.5,48.5
ac175ca7938ed96d7f3831a9fa2e9270,1,Middle Tennessee Blue Raiders,Murray State Racers,-20.5,59.5
19db717a66097e6d3fb887ae8cf3aaae,1,Texas A&M Aggies,Missouri State Bears,-40.5,53.5
fb6839df368dc6724c22bd58cbe64a5d,1,Troy Trojans,Sam Houston State Bearkats,-16.5,53.5
92e9ba19aef9e422898288605879f16a,1,South Alabama Jaguars,Southeastern Louisiana Lions,-12.5,52.5
6fda1c04dbc63f6c24f795f05e32d11b,1,BYU Cougars,Utah Tech Trailblazers,-51.5,59.5
073bba47dc105fcd66913e74f281ae96,1,LSU Tigers,Clemson Tigers,-10.0,51.0
6def2370b6493e65be537864869f5f20,1,Louisiana Tech Bulldogs,Northwestern State Demons,-44.5,55.5
61a35dab6017f6f7de74fab10707197c,1,Mississippi State Bulldogs,UL Monroe Warhawks,-28.5,55.0
516f500b559017bc6c6f127259da99f1,1,Virginia Tech Hokies,VMI Keydets,-55.5,61.5
247137e181f9ff51165c0283d6d56987,1,Florida Gators,Florida Atlantic Owls,-26.5,59.5
993d8ce79314ba23c226f4588a015d05,1,Louisiana Ragin Cajuns,Lamar Cardinals,-19.25,48.5
7062c81b2c402a10362f42c8c30f72f4,1,Northwestern Wildcats,South Dakota State Jackrabbits,-12.5,46.5
5df98ab50cf92b2a49fd7ad6f5d98b67,1,New Mexico State Aggies,Mercyhurst Lakers,-28.5,51.5
020f07f6edd4f49bb1db1eab439f57dd,1,Arizona Wildcats,Northern Arizona Lumberjacks,-32.0,57.5
