name,team,number,position,side,off_grade_off,off_grade_pass,off_grade_run,off_grade_recv,off_grade_pblk,off_grade_rblk,off_snaps_off,off_snaps_pass,off_snaps_run,off_snaps_recv,off_snaps_pblk,off_snaps_rblk,def_grade_def,def_grade_rdef,def_grade_prush,def_grade_cov,def_snaps_def,def_snaps_rdef,def_snaps_prush,def_snaps_cov,height,weight
Alec Falk,AIR FORCE,75,OG,Offense,60.8,,,,37.8,61.1,539,,,,132,407,,,,,,,,,"6' 5""",315
Alexander Perez,AIR FORCE,26,S,Defense,,,,,,,,,,,,,55.4,50,57.4,58.4,349,133,19,197,"5' 10""",200
Blake Fletcher,AIR FORCE,6,LB,Defense,,,,,,,,,,,,,63.4,71.4,67.6,52.3,702,317,71,314,"6' 1""",230
Dallas Daley,AIR FORCE,8,LB,Defense,,,,,,,,,,,,,64.7,64.6,74,58.8,407,181,43,183,"6' 1""",215
Isaac Hubert,AIR FORCE,30,EDGE,Defense,,,,,,,,,,,,,77.3,73.6,74.6,66.1,564,254,272,38,"6' 1""",225
Korey Johnson,AIR FORCE,2,CB,Defense,,,,,,,,,,,,,58.5,66.6,50,57.6,464,218,3,243,"6' 0""",195
Liam Szarka,AIR FORCE,9,QB,Offense,80.6,71.0,74.9,57.8,,60.0,574,143,180,1,,250,,,,,,,,,"5' 11""",190
Mikhail Seiken,AIR FORCE,4,CB,Defense,,,,,,,,,,,,,54.1,58.5,60,52.8,467,213,2,252,"5' 11""",190
Nick Beckwith,AIR FORCE,7,S,Defense,,,,,,,,,,,,,44.9,57.5,53.9,38.8,324,151,22,151,"6' 0""",205
Owen Allen,AIR FORCE,2,RB,Offense,73.3,,75.3,31.5,66.9,55.1,390,,132,18,58,182,,,,,,,,,"5' 11""",215
Payton Zdroik,AIR FORCE,96,DT,Defense,,,,,,,,,,,,,90.4,79,92.2,64.3,515,230,284,1,"6' 0""",275
Roger Jones Jr.,AIR FORCE,5,S,Defense,,,,,,,,,,,,,60.1,74.6,53.2,51.7,719,328,14,377,"5' 10""",184
TJ Tarascio,AIR FORCE,58,OG,Offense,61.8,,,,50.3,62.8,273,,,,83,190,,,,,,,,,"6' 3""",310
Aamii Branch,AKRON,9,CB,Defense,,,,,,,,,,,,,58.6,69.6,58.2,54.8,294,114,28,152,"5' 10""",180
Alex Branch,AKRON,3,S,Defense,,,,,,,,,,,,,55.3,56.4,57.6,54.6,304,130,24,150,"6' 0""",190
Amarie Archer,AKRON,55,OG,Offense,62.1,,,,53.9,62.6,421,,,,239,182,,,,,,,,,"6' 3""",300
Caiden Newsome,AKRON,17,CB,Defense,,,,,,,,,,,,,54.2,63,64,52.7,410,189,1,220,"6' 0""",180
Cameron Monteiro,AKRON,12,WR,Offense,51.0,,,51.4,61.1,49.4,245,,,130,1,114,,,,,,,,,"6' 1""",190
Colin Lyons,AKRON,72,C,Offense,65.6,,,,66.2,67.8,644,,,,360,284,,,,,,,,,"6' 3""",295
Conner Cravaack,AKRON,85,TE,Offense,56.0,,,51.2,60.6,63.4,522,,,227,57,238,,,,,,,,,"6' 4""",245
Cyrus Durham,AKRON,1,EDGE,Defense,,,,,,,,,,,,,64.7,62.3,70.1,64.8,699,331,336,32,"6' 3""",245
Jordan Gant,AKRON,1,RB,Offense,75.7,,80.4,52.6,43.4,51.3,614,,212,206,155,41,,,,,,,,,"5' 10""",205
Kyan Mason,AKRON,3,WR,Offense,73.6,,,75.2,,52.9,320,,,198,,122,,,,,,,,,"5' 9""",155
Marcel Williams,AKRON,2,WR,Offense,75.1,74.6,,75.9,,58.7,557,1,,318,,238,,,,,,,,,"5' 11""",200
Miles Burris,AKRON,4,WR,Offense,55.6,,,54.6,61.0,66.7,352,,,207,1,144,,,,,,,,,"6' 3""",205
Rodrick Hunter,AKRON,13,S,Defense,,,,,,,,,,,,,60.5,48.5,66.3,64.9,292,123,8,161,"5' 11""",190
Vaughn Highland,AKRON,52,DT,Defense,,,,,,,,,,,,,80.7,82,68.8,63.5,386,200,186,0,"6' 1""",315
Bray Hubbard,ALABAMA,18,S,Defense,,,,,,,,,,,,,84.1,90.4,61.2,82.6,816,343,43,430,"6' 2""",215
Caleb Woodson,ALABAMA,7,LB,Defense,,,,,,,,,,,,,60.1,62.5,74.4,53.7,378,200,27,151,"6' 3""",240
Carmelo O'neal,ALABAMA,28,CB,Defense,,,,,,,,,,,,,68.5,62,93.4,66.3,767,310,6,451,"6' 4""",210
Daniel Hill,ALABAMA,4,RB,Offense,66.0,60.6,71.6,59.6,34.3,54.2,344,1,76,188,56,23,,,,,,,,,"6' 1""",236
Desmond Umeozulu,ALABAMA,9,EDGE,Defense,,,,,,,,,,,,,64.9,66.6,59.7,59.9,331,162,161,8,"6' 6""",255
Dijon Lee Jr.,ALABAMA,5,CB,Defense,,,,,,,,,,,,,79.4,66.6,,80.2,586,236,,350,"6' 4""",202
Edric Hill,ALABAMA,94,DT,Defense,,,,,,,,,,,,,72.2,73.7,62.8,63.6,347,152,193,2,"6' 3""",292
Kadyn Proctor,ALABAMA,74,OT,Offense,89.7,,,,72.6,89.0,823,,,,477,346,,,,,,,,,"6' 7""",360
Kaleb Edwards,ALABAMA,81,TE,Offense,51.6,,,53.3,51.8,50.8,369,,,184,44,141,,,,,,,,,"6' 6""",264
Keon Sabb,ALABAMA,3,S,Defense,,,,,,,,,,,,,81.2,71,69,83.7,821,346,35,440,"6' 1""",208
London Simmons,ALABAMA,90,DT,Defense,,,,,,,,,,,,,69.3,75.6,57.2,58.6,266,120,146,0,"6' 3""",300
Lotzeir Brooks,ALABAMA,3,WR,Offense,68.1,,68.8,69.8,,41.5,374,,5,258,,111,,,,,,,,,"5' 9""",193
Noah Rogers,ALABAMA,5,WR,Offense,65.1,,,64.9,61.9,62.9,532,,,331,1,200,,,,,,,,,"6' 2""",201
Racin Delgatty,ALABAMA,55,C,Offense,67.2,,,,79.9,62.2,772,,,,460,312,,,,,,,,,"6' 3""",305
Red Morgan,ALABAMA,6,CB,Defense,,,,,,,,,,,,,63.1,70.9,55.2,60.6,355,157,16,182,"6' 0""",191
Rico Scott,ALABAMA,7,WR,Offense,56.0,,,57.2,61.1,45.8,258,,,156,1,101,,,,,,,,,"6' 0""",198
Ryan Coleman-Williams,ALABAMA,1,WR,Offense,66.5,,67.6,66.0,,58.5,573,,2,392,,179,,,,,,,,,"6' 0""",184
Tim Keenan III,ALABAMA,96,DT,Defense,,,,,,,,,,,,,71.5,73.7,63,59.1,400,196,202,2,"6' 2""",320
Yhonzae Pierre,ALABAMA,0,EDGE,Defense,,,,,,,,,,,,,68.4,72.6,66.6,57.2,617,259,244,114,"6' 3""",251
Zabien Brown,ALABAMA,2,CB,Defense,,,,,,,,,,,,,73.9,85,68.4,69.9,764,315,4,445,"6' 0""",196
Aaron Clark,APP STATE,99,EDGE,Defense,,,,,,,,,,,,,80.4,87.2,59.8,64.9,548,278,265,5,"6' 0""",305
Aiden Benton,APP STATE,33,EDGE,Defense,,,,,,,,,,,,,74.2,71.6,74.2,59.1,495,222,269,4,"6' 2""",250
Alexander Sanchez,APP STATE,16,WR,Offense,54.5,,,53.1,,65.6,271,,,161,,110,,,,,,,,,"6' 2""",195
Cary Grant,APP STATE,0,S,Defense,,,,,,,,,,,,,53.7,58.2,71.3,51.6,431,201,4,226,"6' 2""",180
Cayden Sweatt,APP STATE,52,OG,Offense,62.1,,,,66.0,59.7,940,,,,580,360,,,,,,,,,"6' 4""",300
Chris Lofton,APP STATE,6,WR,Offense,87.3,,,88.6,,61.0,622,,,344,,278,,,,,,,,,"6' 0""",180
Darrin Fugitt,APP STATE,7,TE,Offense,64.6,,59.7,70.2,67.1,48.8,709,,1,259,111,338,,,,,,,,,"6' 5""",240
Dylan Hasz,APP STATE,8,S,Defense,,,,,,,,,,,,,60.9,58.8,76.1,58.9,273,108,12,153,"5' 11""",195
Jaquari Lewis,APP STATE,5,RB,Offense,73.8,,75.8,70.1,37.4,70.0,428,,140,219,44,25,,,,,,,,,"5' 10""",205
Jehchys Brown,APP STATE,50,DT,Defense,,,,,,,,,,,,,76,75.6,71.7,,288,141,147,,"6' 2""",300
Joshua Williams,APP STATE,0,CB,Defense,,,,,,,,,,,,,74.8,93.4,51,66.4,399,187,8,204,"5' 10""",190
Kaleb Purdy,APP STATE,0,S,Defense,,,,,,,,,,,,,81.6,78.6,66.9,80.4,537,227,7,303,"5' 11""",185
Sam Mbake,APP STATE,3,WR,Offense,56.2,,,55.2,61.0,62.2,333,,,192,1,140,,,,,,,,,"6' 3""",210
Sam Pickett III,APP STATE,0,WR,Offense,60.9,,63.2,60.5,,56.3,414,,2,278,,134,,,,,,,,,"6' 0""",185
Trent Ramsey,APP STATE,67,OG,Offense,58.7,,,,39.7,63.4,432,,,,259,173,,,,,,,,,"6' 5""",315
Alexander Doost,ARIZONA,63,OG,Offense,67.2,,,,75.7,62.2,878,,,,529,349,,,,,,,,,"6' 7""",332
Antwan Roberts,ARIZONA,44,RB,Offense,69.4,,73.5,54.0,54.9,57.8,300,,93,82,47,78,,,,,,,,,"6' 0""",201
Braylon Hyder,ARIZONA,75,OT,Offense,55.3,,,,58.8,51.4,842,,,,440,402,,,,,,,,,"6' 5""",315
Cam Chapa,ARIZONA,13,S,Defense,,,,,,,,,,,,,91.4,90.4,,89.2,781,390,,391,"5' 11""",190
Chase Kennedy,ARIZONA,7,EDGE,Defense,,,,,,,,,,,,,65.5,60.4,66.1,67.2,537,252,229,56,"6' 3""",230
Chris Hunter,ARIZONA,11,WR,Offense,60.4,,,61.3,,47.5,445,,,275,,170,,,,,,,,,"6' 1""",195
Cooper Blomstrom,ARIZONA,48,EDGE,Defense,,,,,,,,,,,,,79.4,76.9,81.3,61.5,448,211,212,25,"6' 2""",243
Deshawn McKnight,ARIZONA,0,DT,Defense,,,,,,,,,,,,,76.4,82.3,64.3,55.5,449,221,221,7,"6' 3""",288
Dwight Bootle,ARIZONA,12,CB,Defense,,,,,,,,,,,,,67.5,59.7,55.3,69.1,434,208,3,223,"5' 9""",171
Everett Roussaw Jr.,ARIZONA,16,LB,Defense,,,,,,,,,,,,,63.8,63,55.7,66.9,777,363,141,273,"6' 2""",235
Jay'Vion Cole,ARIZONA,8,CB,Defense,,,,,,,,,,,,,86.3,55.8,70.8,89.8,381,180,6,195,"5' 10""",190
Jordan Ross,ARIZONA,10,WR,Offense,54.4,,59.5,54.0,,66.9,248,,1,151,,96,,,,,,,,,"5' 10""",171
Kedrick Reescano,ARIZONA,3,RB,Offense,76.1,,83.0,50.9,68.6,32.1,245,,86,96,33,30,,,,,,,,,"6' 0""",214
Noah Fifita,ARIZONA,1,QB,Offense,85.1,83.3,66.9,55.9,,60.0,898,534,62,1,,301,,,,,,,,,"5' 10""",190
Quincy Craig,ARIZONA,24,RB,Offense,65.5,,72.5,54.4,33.0,68.7,287,,68,151,45,23,,,,,,,,,"5' 10""",194
Rodney Gallagher III,ARIZONA,84,WR,Offense,58.6,,74.8,56.3,,48.6,503,,14,256,,233,,,,,,,,,"5' 10""",177
Taye Brown,ARIZONA,6,LB,Defense,,,,,,,,,,,,,75.9,87.1,53.9,64.9,752,365,149,238,"6' 2""",226
Tre Spivey,ARIZONA,12,WR,Offense,63.0,,62.6,61.8,74.3,74.0,521,,1,311,2,207,,,,,,,,,"6' 4""",213
Tyrese Boss,ARIZONA,9,CB,Defense,,,,,,,,,,,,,62.9,55.6,60,64.8,643,321,1,321,"5' 11""",179
Zach Henning,ARIZONA,58,C,Offense,67.8,,,,71.0,65.7,333,,,,183,150,,,,,,,,,"6' 4""",314
Zuri Watson,ARIZONA,25,CB,Defense,,,,,,,,,,,,,71.6,64.4,,73.8,591,302,,289,"5' 10""",185
Anthony Miller,ARIZONA ST,85,TE,Offense,55.7,,,62.9,57.4,50.0,359,,,71,63,225,,,,,,,,,"6' 5""",265
C.J. Fite,ARIZONA ST,99,DT,Defense,,,,,,,,,,,,,68.5,72.6,54.6,68.1,587,271,316,0,"6' 2""",310
Clayton Smith,ARIZONA ST,10,EDGE,Defense,,,,,,,,,,,,,65.8,69.1,60.7,63.5,469,171,288,10,"6' 4""",260
Cutter Boley,ARIZONA ST,8,QB,Offense,59.4,59.2,56.5,54.3,,60.1,675,387,13,1,,274,,,,,,,,,"6' 5""",213
David Avit,ARIZONA ST,24,RB,Offense,90.2,,91.2,55.5,87.7,58.3,271,,126,99,34,12,,,,,,,,,"5' 11""",235
