player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Caden Veltkamp,156642,QB,FAU,12,75.3,486,512,7.6,2.46,4,23,4.2,67.4,345,0,144,5.7,555,21,0.08,169,165,56.9,73.2,73.6,54.1,5,17,589,0,45.8,15.3,88.9,4.0,22,20,0,17,23,24,4.1,3629,7.1
Sawyer Robertson,146839,QB,BAYLOR,12,67.2,481,505,9.9,2.54,10,25,4.6,60.2,304,0,140,5.9,544,19,0.03,172,118,76.4,70.3,67.2,68.4,4,12,590,1,46.3,15.0,93.2,3.9,21,16,0,10,31,21,3.6,3683,7.3
Nick Minicucci,173617,QB,DELAWARE,12,71.1,453,483,9.6,2.73,3,18,3.5,62.9,304,1,146,5.6,530,18,0.13,162,151,59.9,67.0,66.4,59.9,10,7,570,3,48.7,16.4,94.1,4.5,24,22,1,16,22,20,3.5,3527,7.3
Malik Washington,198729,QB,MARYLAND,12,70.4,443,474,8.0,2.74,16,15,3.1,57.6,273,0,146,12.5,508,39,0.0,150,215,69.0,71.3,67.6,72.1,3,9,519,2,42.3,6.2,80.2,1.8,9,24,0,12,17,14,2.7,2963,6.3
Jaylen Raynor,172203,QB,ARK STATE,12,73.9,448,472,8.3,2.73,7,15,3.0,66.5,314,0,151,5.1,542,17,0.05,171,113,60.1,72.3,65.8,75.0,4,11,577,1,47.6,19.2,86.2,5.4,29,39,2,11,16,21,3.6,3066,6.5
Jaron-Keawe Sagapolutele,198237,QB,CAL,12,73.4,429,456,8.8,2.65,11,28,5.8,62.9,287,0,173,8.9,504,28,0.01,154,130,51.4,79.5,80.9,44.5,2,9,531,1,44.8,16.8,87.2,5.8,29,14,3,11,17,17,3.2,3118,6.8
Darian Mensah,169984,QB,DUKE,12,77.0,391,426,9.6,2.92,6,23,5.0,67.1,286,0,153,5.0,468,15,0.29,167,154,53.4,85.6,86.1,52.6,1,4,501,4,48.7,15.7,109.6,5.1,24,18,0,28,28,17,3.4,3430,8.1
Kevin Jennings,158272,QB,SMU,12,76.3,397,424,7.8,2.69,6,19,4.2,66.3,281,0,120,7.3,472,22,0.14,150,287,63.0,80.7,79.9,61.4,4,10,497,1,46.6,16.7,101.0,4.2,20,26,0,17,26,13,2.6,3370,7.9
Ty Simpson,157008,QB,ALABAMA,13,75.9,395,419,8.9,2.95,8,29,6.5,65.6,275,0,139,8.3,479,25,0.2,175,103,50.9,87.7,84.7,73.6,7,4,503,4,49.1,19.4,106.9,5.6,27,29,0,9,27,14,2.8,3282,7.8
Joe Fagnano,104768,QB,UCONN,12,78.2,394,414,7.6,2.5,11,14,3.2,69.1,286,0,114,7.1,453,22,0.35,152,146,67.6,87.0,81.9,80.3,3,1,477,0,53.2,14.0,116.0,3.5,16,23,1,5,28,8,1.7,3461,8.4
