pff_team,cfbd_team
AIR FORCE,Air Force
AKRON,Akron
ALABAMA,Alabama
APP STATE,Appalachian State
ARIZONA,Arizona
ARIZONA ST,Arizona State
ARK STATE,Arkansas State
ARKANSAS,Arkansas
ARMY,Army
AUBURN,Auburn
BALL ST,Ball State
BAYLOR,Baylor
BOISE ST,Boise State
BOSTON COL,Boston College
BOWL GREEN,Bowling Green
BUFFALO,Buffalo
BYU,BYU
C MICHIGAN,Central Michigan
CAL,California
CHARLOTTE,Charlotte
CINCINNATI,Cincinnati
CLEMSON,Clemson
COAST CAR,Coastal Carolina
COLO STATE,Colorado State
COLORADO,Colorado
DELAWARE,Delaware
DOMINION,Old Dominion
DUKE,Duke
E CAROLINA,East Carolina
E MICHIGAN,Eastern Michigan
FAU,Florida Atlantic
FIU,Florida International
FLORIDA,Florida
FLORIDA ST,Florida State
FRESNO ST,Fresno State
GA SOUTHRN,Georgia Southern
GA STATE,Georgia State
GA TECH,Georgia Tech
GEORGIA,Georgia
HAWAII,Hawai'i
HOUSTON,Houston
ILLINOIS,Illinois
INDIANA,Indiana
IOWA,Iowa
IOWA STATE,Iowa State
JAMES MAD,James Madison
JVILLE ST,Jacksonville State
KANSAS,Kansas
KANSAS ST,Kansas State
KENNESAW,Kennesaw State
KENT STATE,Kent State
KENTUCKY,Kentucky
LA LAFAYET,Louisiana
LA MONROE,ULM
LA TECH,Louisiana Tech
LIBERTY,Liberty
LOUISVILLE,Louisville
LSU,LSU
MARSHALL,Marshall
MARYLAND,Maryland
MEMPHIS,Memphis
MIAMI FL,Miami
MIAMI OH,Miami Ohio
MICH STATE,Michigan State
MICHIGAN,Michigan
MIDDLE TN,Middle Tennessee
MINNESOTA,Minnesota
MISS STATE,Mississippi State
MISSOURI,Missouri
MO STATE,Missouri State
N CAROLINA,North Carolina
N ILLINOIS,Northern Illinois
N TEXAS,North Texas
NAVY,Navy
NC STATE,NC State
NEBRASKA,Nebraska
NEVADA,Nevada
NEW MEX ST,New Mexico State
NEW MEXICO,New Mexico
NORTHWESTN,Northwestern
NWESTERN,Northwestern
NOTRE DAME,Notre Dame
OHIO,Ohio
OHIO STATE,Ohio State
OKLA STATE,Oklahoma State
OKLAHOMA,Oklahoma
OLE MISS,Ole Miss
OREGON,Oregon
OREGON ST,Oregon State
PENN STATE,Penn State
PITTSBURGH,Pittsburgh
PURDUE,Purdue
RICE,Rice
RUTGERS,Rutgers
S ALABAMA,South Alabama
S CAROLINA,South Carolina
S DIEGO ST,San Diego State
S JOSE ST,San Jose State
SM HOUSTON,Sam Houston
SMU,SMU
SO MISS,Southern Miss
STANFORD,Stanford
SYRACUSE,Syracuse
TCU,TCU
TEMPLE,Temple
TENNESSEE,Tennessee
TEXAS,Texas
TEXAS A&M,Texas A&M
TEXAS ST,Texas State
TEXAS TECH,Texas Tech
TOLEDO,Toledo
TROY,Troy
TULANE,Tulane
TULSA,Tulsa
UAB,UAB
UCF,UCF
UCLA,UCLA
UCONN,UConn
UMASS,UMass
UNLV,UNLV
USC,USC
USF,South Florida
UTAH,Utah
UTAH ST,Utah State
UTEP,UTEP
UTSA,UTSA
VA TECH,Virginia Tech
VANDERBILT,Vanderbilt
VIRGINIA,Virginia
W KENTUCKY,Western Kentucky
W MICHIGAN,Western Michigan
W VIRGINIA,West Virginia
WAKE,Wake Forest
WASH STATE,Washington State
WASHINGTON,Washington
WISCONSIN,Wisconsin
WYOMING,Wyoming
