season,week,slate_date,category,pick,line,game,units_risked,book_price,model_number,result,actual,units_pl,note
2026,2,2026-09-12,spread,Kennesaw State,-8.5,Georgia State @ Kennesaw State,1.10,-110,-20.5,LOSS,Georgia State 31-17,-1.10,lost outright as a 8.5-pt favorite
2026,2,2026-09-12,spread,Buffalo,+10.0,Buffalo @ Florida International,1.10,-110,+0.6,LOSS,Florida International 33-20,-1.10,lost by 13
2026,2,2026-09-12,spread,Marshall,-13.5,Middle Tennessee @ Marshall,1.10,-110,-24.0,LOSS,Marshall 28-26,-1.10,won by 2
2026,2,2026-09-12,spread,Ohio State,+1.5,Ohio State @ Texas,1.10,-110,+4.7,WIN,Texas 24-23,1.00,lost by 1 on a late TD
2026,2,2026-09-12,spread,Michigan,+5.0,Oklahoma @ Michigan,1.10,-110,-1.4,WIN,Michigan 17-10,1.00,won outright
2026,2,2026-09-12,total,Over,46.0,South Florida @ Army,1.10,-110,48.9,WIN,52 (USF 28-24),1.00,
2026,2,2026-09-12,total,Under,56.5,California @ Syracuse,1.10,-110,44.7,WIN,39 (Cal 21-18),1.00,
2026,2,2026-09-12,total,Under,55.5,Louisiana Tech @ LSU,1.10,-110,49.6,LOSS,59 (LSU 45-14),-1.10,35-pt favorite blowout
2026,2,2026-09-12,total,Under,55.0,San Diego State @ UCLA,1.10,-110,41.4,WIN,38 (UCLA 28-10),1.00,
2026,2,2026-09-12,total,Under,50.5,Bowling Green @ Nebraska,1.10,-110,42.0,LOSS,63 (Nebraska 56-7),-1.10,30.5-pt favorite blowout
2026,2,2026-09-12,prop,Malik Washington Over pass yds,239.5,Maryland @ UConn,1.15,-115,352.3,WIN,347 (41 att 8.46 ypa),1.00,
2026,2,2026-09-12,prop,John Mateer Over pass yds,229.5,Oklahoma @ Michigan,1.15,-115,306.9,LOSS,189 (33 att 5.73 ypa),-1.15,volume fine efficiency missed
2026,2,2026-09-12,prop,Nick Minicucci Over pass yds,219.5,Delaware @ Vanderbilt,1.15,-115,290.4,LOSS,182 (27 att 6.74 ypa),-1.15,volume fine efficiency missed
2026,2,2026-09-12,prop,Ryan Browne Under pass yds,234.5,Wake Forest @ Purdue,1.15,-115,141.7,LOSS,329 (43 att 7.65 ypa),-1.15,his wk1 317-yd game contradicted the Under and was ignored
2026,2,2026-09-12,prop,Jayden Denegal Over pass yds,146.5,San Diego State @ UCLA,1.15,-115,202.3,LOSS,45 (17 att 2.65 ypa),-1.15,low volume and 2.65 ypa
2026,3,2026-09-19,spread,UCF,-17.5,Georgia State @ UCF,1.10,-110,-29.3,PENDING,,,2026 SP+ 5.6 (53rd) vs -21.6 (134th); GSU 2-0 vs weak slate
2026,3,2026-09-19,spread,Nevada,-3.5,Nevada @ Middle Tennessee,1.10,-110,+11.7,PENDING,,,MTSU 0 sacks / 15 pressures in 2 gm; Kelley 8.4 ypc
2026,3,2026-09-19,spread,South Carolina,-3.5,Mississippi State @ South Carolina,1.10,-110,-9.7,PENDING,,,SC def 10th SR vs MSU 38th; both 2-0
2026,3,2026-09-19,spread,Louisiana,-7.5,UAB @ Louisiana,1.10,-110,-13.3,PENDING,,,UAB OL 7.5% pressure rate (4th worst FBS); def 131st SR
2026,3,2026-09-19,spread,Louisiana Tech,+20.0,Louisiana Tech @ Baylor,1.10,-110,-14.9,PENDING,,,LT 2nd in explosiveness + 6th havoc; Baylor slowest tempo
2026,3,2026-09-19,total,Over,48.0,Colorado @ Northwestern,1.10,-110,57.1,PENDING,,,NW 100th SR allowed + 16 pressures; Lewis 9.8 ypa
2026,3,2026-09-19,total,Under,62.5,North Texas @ Texas State,1.10,-110,53.4,PENDING,,,TSU 120th finishing drives; both offenses bottom-third
2026,3,2026-09-19,total,Over,53.5,Virginia Tech @ Maryland,1.10,-110,62.1,PENDING,,,MD 8th SR but 125th finishing drives allowed; 0 INTs both QBs
2026,3,2026-09-19,total,Over,45.5,New Mexico @ Oklahoma,1.10,-110,53.8,PENDING,,,both offenses converting opportunities; two slow strong defenses is the risk
2026,3,2026-09-19,total,Over,53.5,Florida @ Auburn,1.10,-110,61.8,PENDING,,,FLA 1st in pts per opportunity; AUB 3rd fastest tempo
2026,3,2026-09-19,prop,Noah Kim Over pass yds,130.5,Eastern Michigan @ Wisconsin,1.15,-115,227.5,PENDING,,,192.0 yds/gm on 36 att/gm; 5.3 ypa but volume clears it
2026,3,2026-09-19,prop,Micah Hudson Under receptions,2.5,Houston @ Texas Tech,1.15,-115,1.1,PENDING,,,26 rts/gm but 3.0 tgt/gm; 4th on team at 10.2% share
2026,3,2026-09-19,prop,Keshaun Singleton Over rec yds,44.5,Florida @ Auburn,1.15,-115,67.8,PENDING,,,65.5 yds/gm on 8.0 tgt/gm; team-leading 23.5% share; 5 books
2026,3,2026-09-19,prop,Kenny Johnson Over receptions,3.5,Houston @ Texas Tech,1.15,-115,5.3,PENDING,,,4.5 rec/gm on 6.0 tgt/gm at 75% catch rate
2026,3,2026-09-19,prop,George Pettaway Under rush yds,70.5,James Madison @ San Diego State,1.15,-115,34.6,PENDING,,,43.5 yds/gm at 3.6 ypc; Herman 12.4 ypc taking work
