player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Danny Scudero,170781,WR,S JOSE ST,12,12.6,18,56.4,39.1,9,23,0,11.1,11,-0.03,45,285,2,58.7,44.8,74.3,,75.0,0.0,0,5,72,0.0,0,535,0,43.4,88,94.8,507,89.5,479,91.8,156,10,8.8,47,1299,479,5.4,14.8,2.56
Jacob De Jesus,174068,WR,CAL,12,7.7,12,69.0,41.2,7,17,0,7.5,8,0.03,44,130,1,72.2,64.8,71.0,61.9,74.0,1.3,6,4,38,0.2,1,480,0,44.4,98,94.0,451,56.9,273,85.8,142,5,37.7,181,893,434,4.4,9.1,1.98
Skyler Bell,145163,WR,UCONN,12,8.3,15,72.3,65.0,13,20,0,3.8,4,0.34,50,146,2,87.0,44.9,81.8,,85.2,0.0,0,1,80,0.0,0,432,4,53.2,102,94.4,408,36.6,158,128.0,141,13,60.9,263,1282,835,8.2,12.6,3.14
Easton Messer,163051,WR,FAU,12,6.6,21,77.2,68.8,11,16,0,5.4,6,0.13,50,165,2,80.8,57.1,75.4,78.7,75.4,0.0,0,3,55,0.4,2,553,0,47.8,105,93.7,518,93.5,517,104.4,136,6,5.2,29,1059,558,5.3,10.1,2.04
Ted Hurst,187922,WR,GA STATE,12,12.6,18,57.3,59.3,16,27,0,9.0,7,-0.01,49,175,0,67.1,75.5,82.0,,82.1,0.0,0,7,70,0.0,0,442,0,43.8,71,93.4,413,16.3,72,76.0,124,6,83.7,370,999,374,5.3,14.1,2.42
Corey Rucker,121539,WR,ARK STATE,12,12.1,18,58.8,43.3,13,30,0,9.5,7,0.04,41,113,1,59.7,54.2,63.9,,65.9,0.0,0,3,55,0.0,0,543,2,47.2,67,94.5,513,16.9,92,80.4,114,3,83.1,451,863,335,5.0,12.9,1.68
Malachi Toney,200155,WR,MIAMI FL,13,6.4,27,79.5,66.7,6,9,1,0.0,0,0.27,49,220,1,95.5,74.8,88.5,79.8,89.7,1.7,7,3,61,0.5,2,404,4,52.6,89,92.6,374,81.9,331,116.2,112,8,12.6,51,992,649,7.3,11.1,2.65
Lewis Bond,143817,WR,BOSTON COL,12,8.1,16,79.3,80.0,8,10,1,3.3,3,-0.02,50,121,0,87.9,58.6,74.5,0.0,77.0,0.0,0,2,54,0.2,1,494,2,44.8,88,96.0,474,62.6,309,99.4,111,1,36.6,181,993,423,4.8,11.3,2.09
Iverson Hooks,163020,WR,UAB,12,11.8,16,66.1,58.8,10,17,0,6.5,5,0.1,46,321,1,75.1,62.1,82.3,,82.9,0.0,0,1,51,0.0,0,381,1,49.2,72,93.4,356,65.1,248,110.1,109,7,34.6,132,927,301,4.2,12.9,2.6
Makai Lemon,174150,WR,USC,12,10.3,21,73.1,71.4,10,14,0,2.5,2,0.37,50,326,1,90.0,71.0,90.8,61.9,91.4,0.5,2,4,74,0.2,1,401,1,53.6,79,92.0,369,70.6,283,126.2,108,11,27.9,112,1156,502,6.4,14.6,3.13
