player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,week
Matthew Henry,192936,WR,W KENTUCKY,1,20.5,0,58.3,33.3,1,3,0,0.0,0,0.34,5,346,0,78.5,67.8,78.6,,77.9,0.0,0,0,55,0.0,0,42,0,58.5,7,97.6,41,7.1,3,129.9,12,1,92.9,39,148,32,4.6,21.1,3.61,0
Pofele Ashlock,158166,WR,HAWAII,1,5.3,4,90.0,,0,0,0,0.0,0,-0.06,4,180,0,80.1,67.5,66.1,,65.5,0.0,0,0,25,0.0,0,50,0,49.0,9,98.0,49,92.0,46,128.8,10,1,8.0,4,69,32,3.6,7.7,1.41,0
Jackson Harris,176616,WR,HAWAII,1,15.4,0,66.7,0.0,0,1,0,0.0,0,0.21,5,180,0,77.5,66.2,64.9,,66.0,0.0,0,0,19,0.0,0,43,0,54.8,6,97.7,42,14.0,6,122.0,9,1,86.0,37,59,11,1.8,9.8,1.4,0
Jayce Brown,173093,WR,KANSAS ST,1,18.1,0,50.0,0.0,0,1,0,33.3,2,0.14,2,199,0,26.0,67.8,67.3,,63.6,0.0,0,0,37,0.0,0,29,0,41.4,4,100.0,29,79.3,23,124.0,8,1,20.7,6,78,8,2.0,19.5,2.69,0
Moussa Barry,166787,WR,W KENTUCKY,1,14.1,0,75.0,100.0,1,1,0,14.3,1,0.28,4,346,1,53.4,15.1,56.9,,58.3,0.0,0,0,48,0.0,0,44,0,55.8,6,97.7,43,2.3,1,114.6,8,0,97.7,43,96,37,6.2,16.0,2.23,0
Jaden Bradley,144016,WR,UNLV,1,15.4,2,85.7,50.0,1,2,0,0.0,0,0.54,5,325,0,77.5,66.2,82.1,,82.2,0.0,0,0,47,0.0,0,25,0,68.2,6,88.0,22,24.0,6,118.8,7,0,76.0,19,131,33,5.5,21.8,5.95,0
Elijah Green,122836,HB,SM HOUSTON,1,-1.3,4,100.0,,0,0,0,0.0,0,-0.54,2,281,0,78.5,71.6,63.6,22.2,77.5,0.0,0,0,35,14.3,4,28,0,28.0,7,75.0,21,7.1,2,103.0,7,0,0.0,0,61,70,10.0,8.7,2.9,0
Marvis Parrish,199564,HB,W KENTUCKY,1,2.7,3,85.7,,0,0,0,14.3,1,-0.02,4,346,0,53.4,74.3,66.8,15.3,68.1,0.0,0,0,22,21.9,7,32,0,46.9,6,78.1,25,3.1,1,140.8,7,1,6.3,2,58,51,8.5,9.7,2.32,0
Sam Roush,157270,TE,STANFORD,1,8.3,0,42.9,0.0,0,2,0,0.0,0,-0.57,0,300,0,73.1,64.1,58.9,70.0,52.1,57.1,16,0,3,14.3,4,28,0,20.0,3,75.0,21,25.0,7,50.3,7,0,17.9,5,6,3,1.0,2.0,0.29,0
Jairus Mack,145562,WR,W KENTUCKY,1,9.7,0,66.7,0.0,0,1,0,0.0,0,0.14,2,346,0,74.9,69.1,58.3,,58.3,0.0,0,0,17,0.0,0,41,0,52.5,4,97.6,40,97.6,40,81.9,6,0,2.4,1,35,21,5.3,8.8,0.88,0
