player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Cale Hellums,170981,QB,ARMY,12,291,38,7,16.0,187,0,984,0,0,31,511.0,23.3,24,96,114,5,97,82.6,76.8,87.4,63.7,,51.1,73.6,60.0,50,0,7,0,3,470,183,30,0,261,16,1167,580,1.99,4.0,2.33,104
Cam Cook,173133,HB,JVILLE ST,12,276,92,23,41.5,652,0,1572,3,11,92,1071.0,132.3,49,84,196,4,68,70.3,85.7,88.4,,74.2,58.2,89.1,60.9,73,0,268,26,273,441,0,0,37,302,15,1572,1071,3.88,5.7,0.98,206
Kewan Lacy,190221,HB,OLE MISS,13,274,85,21,41.4,565,0,1366,4,9,85,927.0,106.0,35,87,226,2,136,90.0,88.0,88.7,,60.4,53.6,91.5,57.4,59,0,161,26,249,375,0,0,31,300,21,1366,927,3.38,5.0,0.65,137
Emmett Johnson,156473,HB,NEBRASKA,12,251,68,13,27.9,404,0,1450,1,21,68,740.0,88.3,36,78,238,1,113,88.6,85.6,61.0,,42.6,68.5,88.1,77.4,70,1,370,46,291,282,0,0,54,297,12,1450,740,2.95,5.8,1.27,135
Anthony Hankerson,157691,HB,OREGON ST,12,247,57,13,28.5,311,0,1090,3,8,57,726.0,71.0,30,65,265,1,79,88.5,73.7,62.4,,87.5,47.7,76.1,65.7,65,2,123,22,266,294,0,0,33,269,9,1090,726,2.94,4.4,0.46,168
Antwan Raymond,190489,HB,RUTGERS,12,244,76,19,33.4,414,0,1238,1,8,76,884.0,116.2,36,78,278,2,58,80.4,89.0,86.2,,75.8,69.7,87.8,59.7,51,0,224,18,171,272,0,0,24,262,13,1238,884,3.62,5.1,1.31,186
Ahmad Hardy,190013,HB,MISSOURI,12,242,89,24,47.7,744,0,1559,1,5,89,1111.0,174.0,40,76,229,3,84,72.3,91.9,49.7,,77.2,49.0,92.5,50.2,72,1,22,6,123,280,0,0,7,248,16,1559,1111,4.59,6.4,0.18,158
Lucky Sutton,158807,HB,S DIEGO ST,12,239,54,8,16.7,207,0,1237,4,1,54,813.0,76.7,32,71,284,0,98,91.6,86.0,53.2,,79.3,30.3,89.3,55.5,50,1,-2,5,130,309,0,0,10,244,10,1237,813,3.4,5.2,-0.02,141
Evan Dickens,170066,HB,LIBERTY,11,229,38,17,41.3,552,0,1336,0,0,38,840.0,59.6,32,67,206,1,120,86.8,84.9,56.1,,49.7,58.3,86.9,48.5,95,1,61,5,136,310,0,0,6,234,16,1336,840,3.67,5.8,0.45,109
Sieh Bangura,145886,HB,OHIO,12,222,56,18,35.2,432,0,1226,1,3,56,869.0,98.3,33,66,259,2,150,86.5,82.4,58.2,,43.0,56.2,86.1,60.3,49,1,76,13,175,292,0,0,18,235,14,1226,869,3.91,5.5,0.43,72
