rank,team,record,pf,pa,grade_over,grade_off,grade_pass,grade_pblk,grade_recv,grade_run,grade_rblk,grade_def,grade_rdef,grade_tack,grade_prsh,grade_cov,grade_spec
1,Georgia,2 - 0,133,23,98.4,93.7,85.3,87.8,75.2,91.3,87.8,92.1,93.1,88.0,81.8,90.1,80.8
2,Virginia,2 - 0,93,11,97.0,93.7,91.3,82.3,74.1,80.9,87.7,90.1,86.8,64.1,75.9,89.1,85.8
3,Florida,2 - 0,118,24,96.9,90.9,76.6,77.6,80.1,85.9,81.3,91.8,95.5,90.1,68.8,90.4,70.1
4,Maryland,2 - 0,100,14,95.8,90.8,90.5,87.4,77.8,88.6,72.4,90.4,91.9,59.7,91.7,67.0,86.1
5,USC,3 - 0,130,56,95.6,93.5,90.7,86.8,84.9,81.9,80.0,80.7,90.7,57.9,90.0,56.4,68.7
6,Miami (FL),3 - 0,155,33,94.5,93.6,92.8,69.0,86.9,86.2,76.0,77.9,78.6,43.3,83.7,67.8,75.3
7,BYU,2 - 0,91,24,94.4,91.1,69.9,75.5,71.1,92.6,83.5,83.6,78.3,54.3,70.4,88.3,69.8
8,Indiana,2 - 0,107,16,94.3,86.4,80.5,80.9,81.6,77.6,70.3,87.8,91.8,63.2,66.2,81.4,86.8
9,Kansas State,2 - 0,105,10,93.5,81.9,58.5,86.1,67.9,83.5,77.9,89.7,80.3,76.2,86.1,87.1,73.3
10,New Mexico,2 - 0,108,14,92.9,76.9,67.9,55.7,67.7,78.3,72.6,90.8,79.0,79.6,90.8,89.5,78.7
11,Notre Dame,2 - 0,93,13,92.9,80.0,86.9,81.0,75.1,70.5,64.6,88.0,91.9,74.7,74.4,72.7,81.3
12,Penn State,2 - 0,72,9,92.8,83.4,91.1,73.6,82.3,73.4,62.0,85.1,75.2,72.1,62.4,91.1,81.8
13,LSU,2 - 0,96,24,92.7,75.9,87.2,67.3,69.1,80.6,57.3,91.8,84.9,66.8,83.1,91.9,73.9
14,Georgia State,2 - 0,90,27,92.5,82.8,90.5,81.1,74.3,72.1,72.7,82.9,84.0,62.1,73.5,78.9,72.3
15,Virginia Tech,2 - 0,117,24,92.5,76.7,74.7,68.6,68.5,81.7,67.8,87.0,94.0,76.6,90.8,48.5,89.1
16,Louisville,1 - 1,97,54,92.4,80.3,61.5,68.8,81.7,83.8,64.7,80.6,78.2,73.8,74.9,80.0,77.0
17,Ohio State,1 - 1,79,27,92.4,84.4,89.4,64.2,74.1,84.7,69.1,84.0,78.1,57.4,68.3,90.0,63.7
18,South Carolina,2 - 0,102,9,92.2,79.4,78.3,81.6,58.7,89.8,72.7,84.6,93.2,69.9,75.1,67.0,90.0
19,Nebraska,2 - 0,105,28,92.1,86.7,85.9,73.5,72.0,90.7,74.9,78.3,74.1,71.3,78.1,73.9,66.2
20,Toledo,1 - 1,83,40,92.0,82.4,80.9,65.1,76.3,77.0,73.2,81.7,75.1,70.4,78.9,80.0,85.5
21,SMU,2 - 0,83,34,91.9,81.7,90.1,86.7,81.7,68.3,59.1,85.2,78.0,70.7,82.9,82.7,58.5
22,TCU,1 - 1,73,22,91.9,79.4,80.6,58.5,65.4,83.1,73.2,87.0,91.6,85.8,87.8,67.8,63.8
23,Army,1 - 1,83,31,91.8,93.3,84.2,74.5,71.3,86.7,84.9,64.8,70.7,52.8,58.1,60.2,73.4
24,Houston,2 - 0,110,26,91.8,83.8,75.3,68.2,76.0,85.4,73.9,81.9,89.8,67.5,70.0,73.4,63.0
25,Missouri,2 - 0,92,35,91.8,84.6,92.2,91.2,74.5,65.2,75.1,81.1,76.8,54.8,80.2,77.4,36.0
26,Arkansas State,1 - 1,76,49,91.5,82.9,71.4,66.2,69.5,86.2,76.3,78.9,77.6,63.4,58.0,84.1,74.8
