Queue,Player,XRank,,,,,,,,,,,,,,
ADP,Bye,Proj Pts,Pass Yds,Pass TD,Int,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Ret TD,2-PT,Fum Lost,,
,,,,,,,,,,,,,,,,
[J. Smith],,,,,,,,,,,,,,,,
J. Smith,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WR,,,,,,,,,,,,,,,,
OSU,,,,,,,,,,,,,,,,
Bye 8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1,1.2,8,216.84,0,0,0,2,14.9,0.1,77.7,1041,11.9,0,0.7,0.3
,,,,,,,,,,,,,,,,
[M. Toney],,,,,,,,,,,,,,,,
M. Toney,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WR,,,,,,,,,,,,,,,,
MIA,,,,,,,,,,,,,,,,
Bye 6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,2,2.6,6,209.83,0,0,0,16.9,77.6,0.8,86.5,1011,8.5,0.3,0.5,0.4
,,,,,,,,,,,,,,,,
[K. Lacy],,,,,,,,,,,,,,,,
K. Lacy,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RB,,,,,,,,,,,,,,,,
MISS,,,,,,,,,,,,,,,,
Bye 5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,3,2.8,5,246.58,0,0,0,236,1147,17.5,25.5,155,0,0,1,1.7
,,,,,,,,,,,,,,,,
[C. Hawkins],,,,,,,,,,,,,,,,
C. Hawkins,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RB,,,,,,,,,,,,,,,,
OKST,,,,,,,,,,,,,,,,
Bye 5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,4,4.2,5,246.37,0,0,0,199,1057,13,30.6,320,2.8,0,0.9,1.5
,,,,,,,,,,,,,,,,
[L. Martin],,,,,,,,,,,,,,,,
L. Martin,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RB,,,,,,,,,,,,,,,,
BYU,,,,,,,,,,,,,,,,
Bye 4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,5,5.8,4,217.84,0,0,0,209,1172,10,32.8,260,0,0,0.6,1.6
,,,,,,,,,,,,,,,,
[J. Baugh],,,,,,,,,,,,,,,,
J. Baugh,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RB,,,,,,,,,,,,,,,,
FLA,,,,,,,,,,,,,,,,
Bye 8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,6,7,8,214.88,0,0,0,190,999,13.1,27.3,171,1.1,0,0.8,1.4
,,,,,,,,,,,,,,,,
[D. Bishop],,,,,,,,,,,,,,,,
D. Bishop,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RB,,,,,,,,,,,,,,,,
TENN,,,,,,,,,,,,,,,,
Bye 9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,7,8.3,9,235.32,0,0,0,207,1199,14.9,13.2,141,1.1,0,0.9,1.5
,,,,,,,,,,,,,,,,
[I. Brown],,,,,,,,,,,,,,,,
I. Brown,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RB,,,,,,,,,,,,,,,,
LOU,,,,,,,,,,,,,,,,
Bye 8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,11,11,8,214.77,0,0,0,177,1347,11.1,16.4,66.3,0,0,0.7,1.3
,,,,,,,,,,,,,,,,
[D. Taylor],,,,,,,,,,,,,,,,
D. Taylor,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RB,,,,,,,,,,,,,,,,
MINN,,,,,,,,,,,,,,,,
Bye 7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,8,11.1,7,196.16,0,0,0,202,940,7.3,44.7,328,1,0,0.5,1.6
,,,,,,,,,,,,,,,,
[N. Sheppard],,,,,,,,,,,,,,,,
N. Sheppard,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RB,,,,,,,,,,,,,,,,
DUKE,,,,,,,,,,,,,,,,
Bye 5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,9,11.4,5,201.99,0,0,0,206,1010,9.7,31.5,238,0.8,0.1,0.6,1.6
,,,,,,,,,,,,,,,,
[C. Cook],,,,,,,,,,,,,,,,
C. Cook,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RB,,,,,,,,,,,,,,,,
WVU,,,,,,,,,,,,,,,,
Bye 9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,10,11.6,9,226.21,0,0,0,214,1092,12.8,24,266,0.5,0,0.8,1.6
,,,,,,,,,,,,,,,,
[A. Raymond],,,,,,,,,,,,,,,,
A. Raymond,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RB,,,,,,,,,,,,,,,,
RUTG,,,,,,,,,,,,,,,,
Bye 6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,13,12.1,6,240.9,0,0,0,245,1237,12.3,19.6,236,2,0,0.8,1.7
,,,,,,,,,,,,,,,,
[B. Jackson],,,,,,,,,,,,,,,,
B. Jackson,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RB,,,,,,,,,,,,,,,,
OSU,,,,,,,,,,,,,,,,
Bye 8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,16,15.7,8,185.24,0,0,0,169,1016,8.1,18.8,204,1.1,0,0.5,1.2
,,,,,,,,,,,,,,,,
[A. Manning],,,,,,,,,,,,,,,,
A. Manning,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
QB,,,,,,,,,,,,,,,,
TEX,,,,,,,,,,,,,,,,
Bye 5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,25,16,5,314.54,3148,28.4,7.6,84.1,319,8,0,0,0,0,2.1,0.9
,,,,,,,,,,,,,,,,
[A. Williams],,,,,,,,,,,,,,,,
A. Williams,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RB,,,,,,,,,,,,,,,,
ND,,,,,,,,,,,,,,,,
Bye 8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,12,16,8,214.59,0,0,0,184,1030,12.3,19.9,187,1.6,0.1,0.8,1.3
,,,,,,,,,,,,,,,,
[J. Haynes],,,,,,,,,,,,,,,,
J. Haynes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RB,,,,,,,,,,,,,,,,
GT,,,,,,,,,,,,,,,,
Bye 5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,15,17,5,205.9,0,0,0,189,1077,11.5,25.8,176,0,0,0.7,1.4
,,,,,,,,,,,,,,,,
[J. Marshall],,,,,,,,,,,,,,,,
J. Marshall,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RB,,,,,,,,,,,,,,,,
MICH,,,,,,,,,,,,,,,,
Bye 6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,19,18.1,6,209.13,0,0,0,179,1130,11.5,11.8,134,1.5,0,0.8,1.3
,,,,,,,,,,,,,,,,
[J. Turner],,,,,,,,,,,,,,,,
J. Turner,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RB,,,,,,,,,,,,,,,,
PITT,,,,,,,,,,,,,,,,
Bye 10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,14,18.9,10,193.92,0,0,0,184,957,8.8,36.2,227,1,0,0.6,1.5
,,,,,,,,,,,,,,,,
[C. Coleman],,,,,,,,,,,,,,,,
C. Coleman,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WR,,,,,,,,,,,,,,,,
TEX,,,,,,,,,,,,,,,,
Bye 5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,22,19.2,5,163.69,0,0,0,1,3.5,0,49.2,865,8.6,0,0.5,0.2
,,,,,,,,,,,,,,,,
[A. Thomas],,,,,,,,,,,,,,,,
A. Thomas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WR,,,,,,,,,,,,,,,,
HOU,,,,,,,,,,,,,,,,
Bye 9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,21,22,9,192.61,0,0,0,4,11.3,0.2,63.7,962,10.3,0,0.6,0.3
,,,,,,,,,,,,,,,,
[N. Marsh],,,,,,,,,,,,,,,,
N. Marsh,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WR,,,,,,,,,,,,,,,,
IND,,,,,,,,,,,,,,,,
Bye 10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,20,22.4,10,173.96,0,0,0,0,0,0,55.8,739,11.9,0,0.7,0.2
,,,,,,,,,,,,,,,,
[K. Raphael],,,,,,,,,,,,,,,,
K. Raphael,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RB,,,,,,,,,,,,,,,,
SMU,,,,,,,,,,,,,,,,
Bye 6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,18,23.5,6,149.5,0,0,0,148,712,8.4,20,127,1.1,0,0.6,1.1
,,,,,,,,,,,,,,,,
[A. Mohammed],,,,,,,,,,,,,,,,
A. Mohammed,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RB,,,,,,,,,,,,,,,,
CAL,,,,,,,,,,,,,,,,
Bye 10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,17,23.9,10,181.47,0,0,0,199,836,11.5,22,121,1,0.1,0.7,1.5
,,,,,,,,,,,,,,,,
[M. Fletcher Jr.],,,,,,,,,,,,,,,,
M. Fletcher Jr.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RB,,,,,,,,,,,,,,,,
MIA,,,,,,,,,,,,,,,,
Bye 6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,28,24.8,6,195.03,0,0,0,188,957,11.8,15.6,124,1.6,0,0.8,1.3
,,,,,,,,,,,,,,,,
[W. Young],,,,,,,,,,,,,,,,
W. Young,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WR,,,,,,,,,,,,,,,,
OKST,,,,,,,,,,,,,,,,
Bye 5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,24,25.1,5,195.03,0,0,0,2.9,12.9,0.1,74.2,1066,8.2,0,0.5,0.3
,,,,,,,,,,,,,,,,
[K. Duff],,,,,,,,,,,,,,,,
K. Duff,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WR,,,,,,,,,,,,,,,,
RUTG,,,,,,,,,,,,,,,,
Bye 6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,32,27.2,6,200.23,0,0,0,0,0,0,67,1202,7.7,0,0.5,0.3
,,,,,,,,,,,,,,,,
[I. Sategna III],,,,,,,,,,,,,,,,
I. Sategna III,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WR,,,,,,,,,,,,,,,,
OU,,,,,,,,,,,,,,,,
Bye 5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,26,28.2,5,183.79,0,0,0,4.1,23.2,0.2,70.8,1038,6.6,0.3,0.4,0.3
,,,,,,,,,,,,,,,,
[M. Hughes],,,,,,,,,,,,,,,,
M. Hughes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RB,,,,,,,,,,,,,,,,
HOU,,,,,,,,,,,,,,,,
Bye 9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,27,29.3,9,184.56,0,0,0,196,961,6.9,24.9,208,2.6,0,0.6,1.5
,,,,,,,,,,,,,,,,
[T. Chambliss],,,,,,,,,,,,,,,,
T. Chambliss,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
QB,,,,,,,,,,,,,,,,
MISS,,,,,,,,,,,,,,,,
Bye 5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,48,33,5,299.3,3388,19.8,4.1,94,338,8.9,0,0,0,0,1.7,1.1
,,,,,,,,,,,,,,,,
[T. Green],,,,,,,,,,,,,,,,
T. Green,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
TE,,,,,,,,,,,,,,,,
LSU,,,,,,,,,,,,,,,,
Bye 9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,33,34.4,9,111.7,0,0,0,0,0,0,36.4,548,6.4,0,0.4,0.2
,,,,,,,,,,,,,,,,
[J. Jackson],,,,,,,,,,,,,,,,
J. Jackson,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
